FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
432591.0,504412.0,61219.0,89041.0,1662,1399,231,131,1057630.0,832364.0,409329.0,342602.0,42.4,2,Nano1
501566.0,643002.0,86732.0,124620.0,1652,1709,506,394,977411.0,790605.0,352170.0,304763.0,42.4,2,Nano1
585652.0,729079.0,120553.0,173870.0,1286,716,62,160,891256.0,685515.0,469873.0,370085.0,43.1,2,Nano1
671206.0,591722.0,128708.0,138162.0,8390,5602,526,471,1434310.0,700795.0,473916.0,234225.0,43.3,2,Nano1
701483.0,718858.0,64135.0,90942.0,3274,2208,570,371,2012220.0,1456980.0,624761.0,465999.0,44.0,2,Nano1
409647.0,460334.0,76709.0,106872.0,1804,1487,449,322,972264.0,776691.0,414776.0,336823.0,46.7,2,Nano1
438549.0,473162.0,157186.0,203255.0,4774,3700,684,425,1394630.0,999965.0,1497720.0,1049090.0,48.4,2,Nano1
2084060.0,1647400.0,3728670.0,4485750.0,12019,6935,2486,1268,1201170.0,869110.0,656180.0,469133.0,49.5,2,Nano1
481239.0,596207.0,131711.0,183254.0,1538,885,52,110,512467.0,426753.0,151252.0,128464.0,50.9,2,Nano1
382887.0,464986.0,65153.0,91117.0,1435,1327,215,109,743796.0,610455.0,220117.0,187369.0,52.1,2,Nano1
1014660.0,1170410.0,168841.0,215263.0,5173,4558,627,667,1493270.0,1078300.0,640061.0,476446.0,52.2,2,Nano1
502578.0,636565.0,37213.0,55821.0,1795,1398,196,165,655549.0,500501.0,284637.0,215734.0,55.1,2,Nano1
586500.0,750997.0,62364.0,90213.0,2217,1785,0,123,844554.0,655599.0,327362.0,239462.0,55.7,2,Nano1
423511.0,468232.0,78125.0,118933.0,2181,2186,693,231,1252900.0,1009520.0,472171.0,342235.0,56.2,2,Nano1
549572.0,535521.0,362084.0,437573.0,2903,2263,406,451,494162.0,412344.0,149160.0,131198.0,56.6,2,Nano1
