UMAP1,UMAP2
14.834827,11.562594
-1.6878716,11.9457245
-1.3976206,-3.1546652
-3.0441754,12.87995
-0.5060403,17.737473
-0.9815436,12.982421
13.133016,2.8090475
-3.1174932,2.2024477
14.090272,6.867089
14.782537,10.192308
-0.14461225,-5.0320497
8.959499,12.675486
6.1921124,-4.502502
-2.9413729,13.0514965
13.889165,6.10035
-3.0157647,1.8263153
-2.4825857,15.079089
-2.7428894,10.542848
-1.6553771,-2.511893
13.340507,6.219066
-0.8740237,9.659465
-0.60379785,10.779233
15.084084,6.5759788
13.96409,5.8444195
13.503175,2.7186944
-2.401718,14.667197
-4.1348386,2.8764784
-1.8586744,-0.92750555
-0.6018807,10.585978
-2.9114492,-1.6642606
-0.6944941,5.097657
13.004016,3.7160475
-1.2427001,14.856646
-3.0182931,12.754514
-2.6897228,2.3812485
-2.6724224,0.70347774
-0.9400939,9.337233
14.8500595,6.84327
-2.4230936,7.9748073
14.232178,10.333358
-2.4399827,3.7455118
14.668668,10.893104
-1.9574782,11.928482
-1.5723319,15.032732
-1.562606,-1.4339037
-1.9364227,9.907152
-2.4378347,13.686462
13.543136,4.007415
-3.417603,8.696809
-2.2587605,0.068524145
15.056052,7.5623064
14.567614,7.551406
-3.5441391,4.1220517
-0.44688213,13.849684
-2.4758687,3.419438
-1.5204542,-2.1493776
-1.6946856,15.002018
14.774798,6.327707
9.265131,-1.3396549
12.552433,16.206194
12.8687,16.671633
9.726204,13.611459
8.327364,-5.0946126
10.817196,14.656778
14.697469,9.159167
15.092637,6.605593
-0.3237732,17.10952
-2.039608,7.8169184
-3.0614462,12.83378
-0.7723522,15.182142
-0.4615109,15.759709
13.471814,6.26788
-2.3532653,3.7375329
-4.091205,9.718402
-2.4584804,-1.3107016
-2.9359121,6.787744
14.971212,9.4136505
14.734726,9.413454
15.334472,10.163096
10.13861,14.027975
14.29038,6.807134
-1.7637119,-0.7143753
14.964081,6.72535
-2.1691594,13.1827545
10.547436,14.413335
13.755689,5.3687367
-0.41443837,15.024363
-3.5220575,4.3114243
-3.3761244,12.621642
