FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
6149.0,16415.0,1572.0,3736.0,2727,3067,3242,3624,7089.0,7947.0,1368.0,2239.0,21.2,0
9815.0,13576.0,2181.0,4525.0,4704,5099,6235,6729,18200.0,19139.0,2405.0,3199.0,21.2,0
3557.0,17415.0,710.0,2293.0,1287,2262,2130,3664,7385.0,12325.0,1520.0,3353.0,21.2,0
1450.0,9521.0,535.0,2152.0,2060,3885,2372,4533,4894.0,9812.0,369.0,447.0,21.2,0
55735.0,91654.0,10759.0,16953.0,423,245,301,155,62291.0,60460.0,43531.0,43013.0,21.4,0
18381.0,43940.0,2732.0,5084.0,9903,10880,12175,13049,28351.0,31100.0,0.0,3916.0,21.4,0
5674.0,12841.0,1436.0,2742.0,3714,4298,4865,5789,12543.0,14128.0,1891.0,1655.0,21.5,0
4687.0,18791.0,779.0,3049.0,1652,1894,2664,3157,6659.0,7675.0,1191.0,1759.0,21.6,0
8173.0,11198.0,971.0,2356.0,2670,3472,3760,4423,10244.0,11732.0,577.0,1905.0,21.6,0
2005.0,11813.0,382.0,1772.0,494,1228,690,2060,1957.0,6044.0,811.0,1609.0,21.6,0
5933.0,12049.0,6447.0,11250.0,157,67,299,199,4376.0,5213.0,2855.0,3952.0,21.6,0
24494.0,39470.0,9990.0,17308.0,6024,5844,9075,9006,25052.0,23550.0,4431.0,5746.0,21.6,0
14623.0,23260.0,3654.0,6465.0,3869,4063,6156,6633,17668.0,18933.0,3558.0,4976.0,21.6,0
1082.0,4429.0,302.0,1952.0,1496,2954,2022,4008,5490.0,10126.0,249.0,775.0,21.8,0
2389.0,5968.0,1510.0,3641.0,3165,3553,4161,4942,9667.0,11239.0,966.0,1960.0,21.8,0
45292.0,59063.0,4936.0,6684.0,640,281,106,132,41372.0,41552.0,21534.0,29134.0,21.8,0
3803.0,13732.0,1131.0,3305.0,1791,2559,2613,4119,7029.0,10974.0,951.0,1347.0,21.8,0
1058.0,2125.0,964.0,4185.0,4209,7087,5288,8811,11850.0,20654.0,681.0,1313.0,21.8,0
14051.0,19289.0,4464.0,5707.0,6479,6663,8917,9352,21495.0,22253.0,4413.0,4400.0,21.8,0
1166.0,7421.0,1017.0,3916.0,133,104,89,0,10495.0,22071.0,2271.0,5063.0,21.9,-1
6630.0,11103.0,3788.0,5216.0,227,105,122,45,41184.0,30375.0,5662.0,4628.0,21.9,0
1662.0,8254.0,188.0,957.0,125,0,128,0,3488.0,6821.0,20138.0,34968.0,21.9,-1
1935.0,8223.0,779.0,3337.0,300,223,158,42,6659.0,8277.0,82807.0,169881.0,21.9,0
769207.0,625368.0,1142800.0,1110340.0,7648,4548,1716,1257,2233450.0,1605590.0,1500300.0,1008840.0,21.9,3
1513.0,7732.0,405.0,1913.0,1157,3531,1605,5074,4167.0,13148.0,933.0,1281.0,21.9,0
12298.0,14407.0,1453.0,2806.0,4822,5428,6390,6599,14496.0,14921.0,2189.0,3394.0,21.9,0
2192.0,8120.0,0.0,1654.0,556,1191,286,1253,1612.0,4748.0,2289.0,2712.0,21.9,0
2084.0,13154.0,556.0,3657.0,1857,3796,2097,4194,4823.0,10265.0,407.0,545.0,21.9,0
26710.0,51256.0,11016.0,15839.0,385,170,118,78,34785.0,33719.0,27462.0,25646.0,22.0,0
57214.0,100080.0,14513.0,23420.0,245,185,178,144,56779.0,55636.0,44914.0,45071.0,22.0,0
7216.0,16742.0,51.0,992.0,4043,4401,5884,6262,14809.0,16549.0,674.0,4131.0,22.1,0
21788.0,42538.0,2837.0,4725.0,340,208,61,147,30869.0,30652.0,17721.0,21232.0,22.2,0
8319.0,14017.0,1098.0,2691.0,177,268,299,146,7761.0,5762.0,6052.0,4478.0,22.2,0
379457.0,404487.0,71262.0,80008.0,1674,1174,526,214,615701.0,445296.0,266841.0,193643.0,22.2,3
10732.0,11534.0,2130.0,5430.0,2440,2869,3810,3993,8751.0,8720.0,2306.0,2546.0,22.2,0
372103.0,505625.0,185464.0,283842.0,8438,8707,14664,14311,43914.0,43283.0,19708.0,14752.0,22.3,0
47701.0,73880.0,25748.0,39860.0,103,201,26,41,47098.0,47426.0,45279.0,36251.0,22.3,0
22638.0,28948.0,5496.0,8996.0,228,111,199,133,17533.0,15871.0,8020.0,14856.0,22.4,0
23759.0,40825.0,5369.0,7689.0,61,66,374,194,26700.0,26475.0,17513.0,24456.0,22.5,0
5919.0,13316.0,3800.0,7410.0,1109,1138,1423,1392,5166.0,5511.0,881.0,1850.0,22.5,0
4595.0,11703.0,0.0,887.0,137,50,232,110,3235.0,4628.0,860.0,1002.0,22.5,0
196114.0,293498.0,26452.0,43303.0,372,366,475,181,253453.0,224899.0,118566.0,98987.0,22.5,0
57185.0,102129.0,18710.0,29233.0,547,293,162,116,61450.0,58129.0,46068.0,43426.0,22.5,0
316094.0,418642.0,111478.0,168110.0,2696,1954,304,564,540655.0,436133.0,227273.0,158387.0,22.6,3
15309.0,29132.0,8956.0,17919.0,296,191,279,175,24732.0,26525.0,10264.0,17033.0,22.6,0
17032.0,18697.0,756.0,3787.0,3787,4110,4273,4922,11307.0,11356.0,1675.0,1411.0,22.7,0
114265.0,175940.0,5916.0,8387.0,515,361,0,119,149218.0,136020.0,63563.0,55230.0,22.7,0
125264.0,188335.0,21630.0,35086.0,445,349,355,194,247424.0,222674.0,69059.0,89956.0,22.8,0
1035.0,5113.0,593.0,2853.0,1007,1425,1480,2447,4260.0,6917.0,624.0,1376.0,23.0,0
19787.0,40543.0,7370.0,14154.0,245,180,141,97,37511.0,38915.0,13130.0,29327.0,23.0,0
8204.0,20683.0,2724.0,5262.0,6099,7239,7782,9366,19415.0,21856.0,3072.0,3461.0,23.0,0
19508.0,32650.0,6445.0,12323.0,248,161,146,90,19965.0,20439.0,5136.0,13097.0,23.1,0
3299.0,12045.0,2034.0,5350.0,3337,4102,4278,5276,12699.0,16062.0,626.0,844.0,23.1,0
18643.0,37640.0,8335.0,12548.0,309,210,153,100,32977.0,32626.0,16724.0,20208.0,23.2,0
5881.0,18591.0,2811.0,6577.0,3962,4649,5499,6346,15984.0,18959.0,2962.0,3436.0,23.3,0
35125.0,59096.0,1726.0,4225.0,97,118,0,0,40399.0,39680.0,34788.0,31309.0,23.3,-1
875.0,4879.0,42.0,720.0,433,1148,499,1575,1418.0,3990.0,1188.0,1890.0,23.3,0
16020.0,17172.0,1637.0,3391.0,2139,2010,2847,2926,8501.0,8519.0,71.0,1752.0,23.4,0
72998.0,113626.0,82607.0,133187.0,19942,22029,34001,36627,16018.0,16214.0,770.0,1959.0,23.4,0
2747.0,10833.0,168.0,1039.0,209,141,163,102,13544.0,17553.0,4601.0,6201.0,23.4,0
7395.0,12706.0,0.0,1003.0,192,191,317,178,4713.0,3968.0,8280.0,7103.0,23.4,0
896244.0,984326.0,80679.0,106049.0,3137,2212,573,438,1547100.0,1207660.0,1302250.0,904589.0,23.4,3
2138.0,5455.0,604.0,1796.0,2265,2471,2916,3293,7777.0,8926.0,0.0,464.0,23.4,0
4075.0,15233.0,3270.0,8209.0,1713,2652,2458,3613,6023.0,8806.0,708.0,2271.0,23.5,0
