FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
6917.0,11669.0,2229.0,3809.0,4038,3912,5414,5694,13359.0,13814.0,3148.0,2879.0,140.6,0,-130608.91641071724,24959.752817276534
19283.0,22517.0,4517.0,6620.0,10202,10002,12978,12827,26113.0,24729.0,7798.0,7801.0,140.7,0,-115849.98792877737,17511.013413624278
40311.0,67908.0,6994.0,12541.0,0,62,169,83,55324.0,52641.0,26148.0,39611.0,140.7,0,-79997.69969399842,-9256.101700769748
4624.0,9512.0,1601.0,4103.0,3434,3839,4160,5074,9834.0,11112.0,1944.0,3298.0,140.8,0,-133946.13054789844,26710.636390531447
10273.0,11733.0,770.0,1988.0,5375,5288,6858,7519,20239.0,21179.0,6337.0,5942.0,140.8,0,-125301.00034042074,18543.32557076504
52539.0,74837.0,13540.0,22535.0,432,200,0,68,49815.0,44162.0,39905.0,35932.0,140.8,0,-68525.3064565182,-7739.673245813949
640.0,3512.0,810.0,3331.0,4031,7141,4163,7435,8724.0,15184.0,732.0,2156.0,140.8,0,-137138.43271508586,27360.472054478185
3273.0,11486.0,882.0,2441.0,1160,3253,1218,3928,2541.0,7277.0,206.0,415.0,140.8,0,-139529.07902447163,31168.517213209914
13077.0,19651.0,2373.0,3821.0,11206,12057,12371,12613,24244.0,24288.0,2190.0,3377.0,140.8,0,-123506.0056098268,20302.35224773076
10955.0,22121.0,5017.0,8186.0,1912,1932,5272,5564,13213.0,13392.0,3338.0,5339.0,140.8,0,-126870.45412243344,26579.66841928877
123301.0,189179.0,48085.0,74376.0,3215,3138,7253,6212,19226.0,17321.0,7957.0,7477.0,140.9,0,-52179.49589764602,55199.32174955064
15456.0,39160.0,3203.0,6374.0,2123,2046,6119,6095,17972.0,18513.0,4677.0,7746.0,140.9,0,-123264.743665326,22065.213136025734
24307.0,45761.0,4559.0,9160.0,949,702,399,219,28123.0,26371.0,21713.0,21375.0,141.0,0,-104971.6420405929,7377.165967131132
2738.0,12791.0,878.0,4206.0,1924,4368,2590,5428,4669.0,10334.0,408.0,394.0,141.0,0,-138650.64666863612,29987.91595347061
994.0,5894.0,291.0,3265.0,478,1508,939,2639,2825.0,8083.0,387.0,523.0,141.0,0,-140527.46052941433,30415.51826712768
1499.0,8294.0,68.0,597.0,152,81,73,0,5438.0,9547.0,3907.0,7344.0,141.0,-1,-136665.35780892533,25991.10240735951
1956.0,9980.0,276.0,1788.0,142,13,105,0,4447.0,6642.0,2962.0,5267.0,141.0,-1,-137562.9256735423,27489.593520767736
648200.0,832342.0,58050.0,83491.0,864,705,377,242,724604.0,548827.0,318999.0,245044.0,141.0,0,644407.9890360102,-463919.4371556928
