FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
4640.0,11751.0,2143.0,4732.0,3226,3371,4558,4879,12455.0,12780.0,1695.0,3713.0,22.2,Syn,6
17129.0,32985.0,3220.0,5538.0,6682,6858,8916,9132,25068.0,26229.0,3391.0,7395.0,22.2,Syn,6
44363.0,80143.0,3948.0,5637.0,300,124,471,230,42619.0,40255.0,26029.0,28386.0,22.3,PEuk1,4
130862.0,206844.0,37002.0,60620.0,233,245,119,136,161334.0,144137.0,49914.0,52514.0,22.4,PEuk2,5
23227.0,36360.0,4234.0,6224.0,2163,1699,5483,5269,16685.0,15623.0,7090.0,6552.0,22.5,Syn,6
14755.0,22084.0,2080.0,5231.0,4194,4680,5680,5987,15598.0,17015.0,5530.0,5230.0,22.5,Syn,6
9083.0,15402.0,803.0,1955.0,2942,3551,3614,3800,10439.0,10376.0,135.0,1400.0,22.5,Syn,6
14873.0,26664.0,3417.0,6869.0,8590,8951,11148,11831,28740.0,30258.0,4346.0,5702.0,22.5,Syn,6
6802.0,16985.0,2073.0,3924.0,1821,1808,3023,3006,8175.0,8195.0,1030.0,1973.0,22.6,Syn,6
34592.0,44558.0,8048.0,13312.0,314,254,0,41,59277.0,55105.0,42479.0,39247.0,22.6,PEuk1,4
5781.0,13448.0,3671.0,6219.0,4719,4876,7034,7382,20004.0,21100.0,646.0,3221.0,22.6,Syn,6
23729.0,36705.0,1762.0,4247.0,9211,9486,12909,13209,34748.0,35763.0,2211.0,5336.0,22.6,Syn,6
53665.0,80387.0,4663.0,10086.0,948,287,238,126,35559.0,31734.0,29397.0,27194.0,22.7,PEuk1,4
12187.0,20110.0,834.0,5334.0,6093,6386,6949,7457,16883.0,17923.0,0.0,1300.0,22.7,Syn,6
52128.0,72848.0,4054.0,6967.0,80,95,143,232,45121.0,40248.0,16029.0,29940.0,22.7,PEuk1,4
8159.0,24081.0,4471.0,8780.0,3298,3140,3610,3754,9498.0,9840.0,1321.0,1601.0,22.8,Syn,6
