FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,SOM_X,SOM_Y,HDBSCAN_Cluster
27242.0,-0.1665701039573006,10910.0,-0.087380305469164,394,-0.6032506612344709,84,-0.6572878170986824,38765.0,-0.1087957273231516,25731.0,32309.0,1,1-0,1,0,3
2864.0,-0.365635063500689,0.0,-0.1279320298656482,0,-0.6606131248822478,330,-0.6395497600659628,5696.0,-0.2399055107072422,10161.0,11184.0,1,1-0,1,0,3
713.0,-0.3810617413035135,0.0,-0.1298048061837964,140,-0.6585397828226895,191,-0.6515440652976113,7795.0,-0.2134302618476441,6160.0,11285.0,1,1-0,1,0,3
1381.0,-0.3764405904569705,157.0,-0.1274351324304813,165,-0.6617649815820024,210,-0.6452935118670339,3605.0,-0.2335576667400253,89476.0,245757.0,1,1-0,1,0,3
869429.0,4.1582489091999575,110353.0,0.1834118570115314,3461,0.0180608426131363,1077,-0.5854909195852934,1439850.0,4.501436672076872,1340880.0,1130050.0,1,3-0,3,0,4
5865.0,-0.3636992338596904,2130.0,-0.1207759539243425,3451,0.3129361577503026,4880,0.3247248070079777,14484.0,-0.2082012545160199,1526.0,3412.0,1,0-0,0,0,2
124585.0,0.5539439752987746,212502.0,0.5420118192854404,9411,1.739625866066295,11894,1.6393682339472568,33639.0,-0.130741241748371,6626.0,8156.0,1,0-1,0,1,6
4857.0,-0.340353642326321,2349.0,-0.1195882937668033,1123,-0.3887749437401727,3267,-0.0106089378486746,7967.0,-0.2366810856810549,1511.0,4194.0,1,0-0,0,0,2
8139.0,-0.2665565614766626,844.0,-0.1257486926505208,4418,0.6651739365352457,6495,0.7887861657592241,16864.0,-0.1938467358753427,2262.0,4279.0,1,0-1,0,1,6
34326.0,-0.1073260078866533,2519.0,-0.1201454211941117,290,-0.6359633915075003,128,-0.6559363460866657,43025.0,-0.090773910821365,28068.0,43339.0,1,1-0,1,0,3
12977.0,-0.2640768151002508,3244.0,-0.1207853648606146,10029,2.0840310192929072,12086,1.695116413192947,30015.0,-0.1462689849166489,7237.0,7145.0,1,0-1,0,1,6
6716.0,-0.3109564417603611,2063.0,-0.1196918140657964,6500,1.3763302629637084,7611,1.125809249380897,18285.0,-0.1812209752306334,1099.0,3906.0,1,0-1,0,1,6
4830.0,-0.3554291297960441,305.0,-0.1221292465602706,1535,-0.1662362293475925,2123,-0.0433821098900805,5882.0,-0.2355739035937497,0.0,1065.0,1,0-0,0,0,2
7448.0,-0.3395827367170738,1786.0,-0.1221141890622353,3542,0.3905712993137596,4275,0.2919516349665719,11599.0,-0.2173267658250728,2044.0,3140.0,1,0-0,0,0,2
25655.0,-0.1844165688113734,3628.0,-0.1184872142229674,397,-0.6274396519293166,36,-0.665734510923787,18659.0,-0.1982288460314141,12101.0,18213.0,1,1-0,1,0,3
4500.0,-0.3401180878346066,2025.0,-0.1212446185506931,1936,-0.0604957843101243,2704,0.0351721426833922,7120.0,-0.2301234598446644,2748.0,3135.0,1,0-0,0,0,2
10157.0,-0.3631424686974563,4032.0,-0.121553297260418,2057,-0.0312386241363585,3179,-0.0249683173513525,11079.0,-0.2283713927521216,2449.0,1548.0,1,0-0,0,0,2
2412.0,-0.3640204445302101,1275.0,-0.1232867917217391,1330,-0.1775244250051871,1811,-0.204376094196574,4734.0,-0.2454414211437686,945.0,1897.0,1,1-0,1,0,3
6217.0,-0.3341178725092992,1570.0,-0.1237046372922204,4952,0.6785354742523986,6498,0.6152910745915757,19146.0,-0.1897987227701774,1045.0,4133.0,1,0-0,0,0,2
32207.0,-0.1850675557702932,7327.0,-0.1082876414912641,508,-0.6177640556513784,324,-0.6412390988309837,38497.0,-0.1290707564938402,30803.0,25680.0,1,1-0,1,0,3
3939.0,-0.3329572312864882,1117.0,-0.1230835154982617,3494,0.2500447819437039,4520,0.2936409737315928,11742.0,-0.2190516389716116,779.0,1753.0,1,0-0,0,0,2
336264.0,1.7423249516159165,39060.0,-0.016190336945227,1166,-0.4846094211597517,316,-0.6366778841654273,215461.0,0.5091828107680756,109975.0,112562.0,1,1-1,1,1,7
2684.0,-0.3706630811965568,724.0,-0.1258785635710758,233,-0.6168425702915746,216,-0.6446177763610256,6904.0,-0.2429318084125433,2519.0,1762.0,1,1-0,1,0,3
5562.0,-0.3587226098711057,0.0,-0.1270718702903782,209,-0.6391885902668131,225,-0.6365089502889251,6773.0,-0.2429939660034096,2526.0,2389.0,1,1-0,1,0,3
1511.0,9391.0,0.0,655.0,61,0.0,109,0.0,3112.0,7567.0,29645.0,56820.0,0,5-3,5,3,0
416440.0,2.126116026370695,28733.0,-0.0480858821586325,1146,-0.4088172503159019,203,-0.6485032555205736,682278.0,2.1020992767471807,229296.0,226625.0,1,1-1,1,1,7
19683.0,-0.2116680820982619,13423.0,-0.0822362877028335,4737,0.4341114825644819,6373,0.5394397640421364,18841.0,-0.1958396636324922,2389.0,4289.0,1,0-0,0,0,2
10196.0,-0.2912598034440951,2332.0,-0.1203543439793523,4421,0.4870968907531914,5884,0.4955169561515926,16369.0,-0.2014221922621683,913.0,3968.0,1,0-0,0,0,2
2451.0,-0.33511148418344,896.0,-0.123264205474686,1680,0.0079245036552962,2168,0.007298053060547,6845.0,-0.2255937254102856,544.0,1068.0,1,0-0,0,0,2
1175.0,-0.3878457106648889,990.0,-0.1229762308247597,3080,0.2498144106037529,3402,0.0512208609510909,7354.0,-0.2405348563147631,322.0,573.0,1,0-0,0,0,2
427687.0,1.9301689517358176,496444.0,1.191300545506521,1030,-0.4825360791001934,269,-0.6294137274758372,115629.0,0.1502188386659879,139806.0,124536.0,1,1-1,1,1,7
29918.0,-0.1827719701783126,26050.0,-0.0460267693022967,311,-0.6304344793486785,178,-0.6532334040626322,35870.0,-0.1355662247393645,26250.0,32714.0,1,1-0,1,0,3
2889.0,-0.3411159823176877,454.0,-0.1240227269382174,264,-0.6304344793486785,165,-0.6429284375960046,1105.0,-0.2593686063472403,7881.0,18656.0,1,1-0,1,0,3
25673.0,-0.2332962672465861,9485.0,-0.0968740579804597,225,-0.6230625964702493,220,-0.6375225535479376,33034.0,-0.1425278749163858,19108.0,28021.0,1,1-0,1,0,3
3801.0,-0.3642088881235816,1210.0,-0.1240641350578146,1854,-0.2183001521764984,2638,-0.1577503442819967,6583.0,-0.2452627180700281,746.0,1526.0,1,0-0,0,0,2
7092.0,-0.3252267611493148,1682.0,-0.1239173244519698,6578,1.0828371758662476,8613,0.9261294073554248,19692.0,-0.1923316445979776,3180.0,5651.0,1,0-1,0,1,6
3377.0,-0.3491847943611417,1199.0,-0.1236933441686938,4170,0.6087329582472725,5225,0.5259250539219691,10889.0,-0.2208231303113,183.0,1380.0,1,0-0,0,0,2
223467.0,1.0658081686031549,28947.0,-0.041678916744586,868,-0.5269977477107194,231,-0.643604173102013,257816.0,0.679704391610805,116119.0,116977.0,1,2-0,2,0,5
5069.0,-0.3553391908082985,1704.0,-0.1206969020596568,7385,1.3012292061397113,8547,0.9220749943193746,18396.0,-0.1996623554707672,183.0,1327.0,1,0-1,0,1,6
143977.0,0.5753922824716079,22491.0,-0.0629909230263864,596,-0.6226018537903475,705,-0.6186019593797034,252685.0,0.5918562914696321,115880.0,97626.0,1,2-0,2,0,5
312608.0,1.4762682946289465,94873.0,0.1266789687887963,1483,-0.3929216278592891,512,-0.621642769156741,192150.0,0.4438862615630681,76394.0,74787.0,1,2-0,2,0,5
4607.0,-0.3566625787708395,0.0,-0.1231061017453147,732,-0.1680792000671998,961,-0.1690689140076368,2933.0,-0.241218589814292,2470.0,2164.0,1,0-0,0,0,2
1561.0,-0.359365031212145,647.0,-0.1216172916270683,2317,0.350947428842203,3059,0.3184742535774003,7918.0,-0.2170548263650329,735.0,2064.0,1,0-0,0,0,2
11954.0,-0.3389874262743774,1900.0,-0.1229781130120142,4459,0.3488740867826447,5003,0.2488734964585384,11063.0,-0.2298592900834828,2991.0,3196.0,1,0-0,0,0,2
4603.0,-0.3535104313908065,732.0,-0.1241582444205356,554,-0.3636644676855233,633,-0.3298939644376283,1825.0,-0.2534519806666581,133.0,441.0,1,1-0,1,0,3
26930.0,-0.1716666465962127,5295.0,-0.1159632011147899,19,-0.6663724083810205,272,-0.6463071151260464,41897.0,-0.1060374842284613,20879.0,28588.0,1,1-0,1,0,3
29197.0,-0.2328251582631573,11409.0,-0.0922005870277343,302,-0.5942661789763853,0,-0.6577946187281887,21713.0,-0.1947402512440452,25040.0,18858.0,1,1-0,1,0,3
