FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,SOM_Cluster,Final_Cluster
6716.0,11488.0,638.0,2707.0,2260,2565,2999.0,3356.0,7295.0,7369.0,1482.0,2168.0,6655.7,11,6
12928.0,24849.0,1955.0,3810.0,5653,6388,6801.0,7613.0,14552.0,16078.0,1543.0,3929.0,6655.7,7,5
10240.0,23194.0,1349.0,3990.0,3005,4041,4559.0,5149.0,12279.0,13291.0,1912.0,3290.0,6655.7,13,7
1227.0,4863.0,219.0,1596.0,124,64,114.0,25.0,2793.0,7055.0,13186.0,28908.0,6655.7,6,4
57250.0,94897.0,9473.0,16814.0,239,157,32.0,34.0,45344.0,45227.0,27036.0,36456.0,6655.7,22,1
6666.0,9647.0,1836.0,4602.0,2709,3085,3610.0,4035.0,8471.0,8398.0,941.0,2830.0,6655.8,4,2
16404.0,14101.0,6158.0,5883.0,4233,4713,4974.0,5180.0,10819.0,11564.0,3225.0,2045.0,6655.8,13,7
122771.0,183885.0,8804.0,15453.0,442,233,156.0,114.0,92558.0,82936.0,75756.0,60749.0,6655.9,0,2
40158.0,64141.0,15639.0,26125.0,0,86,70.0,88.0,32897.0,31218.0,29113.0,23475.0,6656.0,6,4
8922.0,22803.0,1991.0,4397.0,2666,2686,3575.0,3876.0,10729.0,10522.0,3189.0,3394.0,6656.0,4,2
2014.0,7892.0,37.0,883.0,331,808,573.0,1129.0,2265.0,7231.0,4338.0,8958.0,6656.0,19,0
6960.0,15396.0,1309.0,3151.0,8523,9821,9864.0,11691.0,20988.0,22906.0,3376.0,8175.0,6656.0,21,1
11799.0,23237.0,2296.0,3998.0,4236,4578,5574.0,6146.0,14186.0,13918.0,2202.0,1592.0,6656.1,13,7
86097.0,141106.0,4099.0,8066.0,608,293,0.0,0.0,57769.0,56698.0,43850.0,52436.0,6656.2,15,3
42001.0,68545.0,7176.0,11549.0,611,339,199.0,135.0,32384.0,30583.0,22553.0,19315.0,6656.2,6,4
86463.0,136503.0,9370.0,15273.0,8737,8772,21036.0,21113.0,50941.0,49409.0,14456.0,16916.0,6656.2,21,1
3138.0,11893.0,806.0,2988.0,1377,2083,1956.0,3228.0,5650.0,9850.0,273.0,1833.0,6656.3,11,6
23177.0,33045.0,7564.0,12041.0,3692,3961,4570.0,4881.0,14722.0,15675.0,4227.0,3895.0,6656.3,4,2
12071.0,19361.0,3445.0,7577.0,1538,1615,3381.0,3836.0,9486.0,10577.0,699.0,3550.0,6656.3,4,2
12916.0,12180.0,1265.0,2294.0,4486,4588,5756.0,6027.0,14963.0,14892.0,4690.0,2940.0,6656.3,13,7
12798.0,21175.0,4258.0,8230.0,4734,4853,6061.0,6246.0,15296.0,16161.0,2607.0,1997.0,6656.4,13,7
80335.0,117565.0,75.0,3351.0,752,326,155.0,140.0,63868.0,58711.0,63221.0,54972.0,6656.4,15,3
4668.0,9437.0,0.0,1415.0,137,113,247.0,118.0,6647.0,4720.0,560.0,964.0,6656.4,6,4
