"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
9643,21456,2473,5371,4291,5591,5591,7146,14902,19598,1450,4463,2590.6
25142,50974,8696,14923,367,174,319,131,24396,28284,14264,16078,2590.6
2896,15507,1060,4645,2204,3613,3296,5527,8177,13764,693,3194,2590.7
10156,15962,4667,9042,1724,1888,2006,2523,6793,8756,1599,2263,2590.7
11996,19614,2284,6405,1474,1735,2388,2925,6116,7177,749,1951,2590.8
153595,296622,43964,85498,375,352,301,224,147736,166120,66339,82527,2590.8
165711,317639,75711,126015,589,623,386,272,90034,103757,50392,52032,2590.8
2951,13510,480,2285,216,110,73,0,1967,4289,14550,31475,2590.9
44615,99104,7915,17125,508,416,0,0,47343,59449,30380,47251,2590.9
7144,16514,2161,6397,3587,4462,4166,5418,9409,12028,1023,971,2590.9
3500,8527,873,2552,1321,2720,1852,4114,5301,9513,0,471,2590.9
2788,10641,863,3617,1561,2190,2077,2879,7240,10548,1394,2348,2590.9
23050,45691,9516,19757,183,186,29,56,30801,38425,29220,28231,2591
35120,67468,8735,17390,35,81,0,0,38413,47257,23889,41750,2591.2
24587,51353,5983,10491,420,195,67,63,27062,31156,23606,27803,2591.3
11749,20677,2035,6126,2033,2844,2489,3192,6669,8954,54,1030,2591.4
9597,21287,2281,4687,2957,3739,3844,4605,11013,13647,1728,2924,2591.4
45277,84347,6232,10340,115,126,320,246,41649,48127,25084,40949,2591.4
71455,124690,2574,5227,433,187,106,78,59978,68666,61272,62710,2591.4
22180,63915,7839,16888,183,82,156,130,26506,33989,24286,26512,2591.4
4929,18638,475,3427,171,119,133,124,1529,7177,557,2802,2591.4
10373,20891,767,1352,2404,2979,3712,4259,8014,8893,3277,3384,2591.5
26506,51579,7731,14127,348,226,342,218,27644,31839,19071,28879,2591.6
13868,31690,1520,2837,8469,10282,10886,13900,25797,32158,6465,7332,2591.6
1625,9200,2126,6976,1133,1884,1671,2742,3994,6525,661,1775,2591.7
3777,19750,123,1921,1229,1880,1634,2677,4664,7959,646,1854,2591.7
36040,67703,5862,11170,0,74,261,207,36303,42831,26077,33414,2591.7
9366,22036,1874,3623,1299,1418,3264,4042,8581,9918,2429,3126,2591.9
9356,23548,3371,8828,931,1149,2679,3515,6961,9492,2304,2467,2591.9
39100,78765,3069,5261,532,427,272,89,36738,41454,23418,32422,2591.9
95028,167018,192147,367479,2367,2692,5366,6779,13731,17502,6619,6519,2592
7810,19012,188,1535,2537,3036,3640,4185,9701,12209,3384,5230,2592
22234,44655,2566,4673,1936,2500,5099,6299,13577,16113,4948,5241,2592.1
7160,21867,3450,7190,2006,2428,2979,3599,8592,10550,1590,2334,2592.1
60045,105723,6830,12354,366,275,228,110,45781,48812,39301,40268,2592.1
97965,194665,5051,8229,613,347,65,123,126203,134887,55685,68512,2592.2
1351,6548,176,1275,318,1168,619,1955,1031,4150,1196,1705,2592.2
12054,24819,4797,11027,396,365,282,175,78973,95267,23121,48285,2592.2
17381,48698,5805,11496,4306,5303,6048,7651,17418,20220,3905,3843,2592.3
4006,8497,1998,4641,1196,1479,1770,2116,4053,5162,0,240,2592.3
50314,96013,9221,15747,137,210,162,105,56916,63666,49559,54290,2592.4
3234,11547,1308,3588,2609,4098,3307,5483,8737,14818,2357,3340,2592.4
16310,19976,1701,3403,3796,4766,5227,6594,12538,15127,980,4090,2592.5
33906,84737,6639,10941,94,64,73,96,45216,49392,29394,35733,2592.5
5037,16232,916,2595,1006,1400,1069,1780,3027,4896,1261,1969,2592.5
29537,51741,2818,6580,246,173,0,29,35194,40680,30484,33810,2592.6
36833,65593,9856,17018,188,164,282,126,39369,46863,27866,40283,2592.6
4220,22069,928,3134,1396,2705,2085,3998,5373,10223,1264,2131,2592.6
3517,8683,1448,3158,1257,1477,1981,2476,5734,6771,1587,1110,2592.7
28407,64832,3388,7844,288,183,32,0,33867,39303,24114,36707,2592.8
30173,47647,11900,18019,3683,3750,8297,9280,20974,23698,7903,8195,2592.9
389415,636254,100239,185860,423,676,314,172,343114,351099,152876,171827,2592.9
10915,21586,520,1616,4139,5083,5306,6127,13374,16373,3067,3812,2592.9
8288,15966,672,2867,1102,1496,1646,1776,4613,5948,1249,1192,2592.9
67107,123056,6009,8954,106,77,0,0,80472,84543,56281,65771,2593
9603,20893,5501,9491,3490,4121,4694,5571,12702,14224,2991,3474,2593
4186,11097,1328,4089,1208,1706,1764,2646,5161,7872,2070,2269,2593
34025,62678,8514,16616,648,369,197,199,37235,41796,19872,34666,2593
51923,102904,2525,6145,216,242,184,95,54458,60206,35475,52024,2593.1
7045,10464,1907,4859,2773,3182,3405,3996,8471,9876,1904,2047,2593.1
8576,24302,1665,5203,5007,6406,6822,8364,16883,19800,2768,6050,2593.1
