FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Row_Status,SOM_Cluster,Cluster
1466.0,8623.0,0.0,398.0,127,21.0,99,0.0,1778.0,5725.0,12945.0,32271.0,0,'1-1,7
35092.0,-0.0221696643994015,8567.0,-0.0807387223389535,494,-0.777726219335207,0,-0.7246361350128252,47237.0,-0.0451827210193368,14565.0,30195.0,1,'1-5,11
7768.0,-0.336803012091825,2116.0,-0.1060851457245263,1730,-0.1044194337209089,2294,-0.1185225231650111,5974.0,-0.2522173436202424,1675.0,1332.0,1,'2-5,17
233281.0,1.1580510457561295,15955.0,-0.0603428826698343,360,-0.8467670844640485,0,-0.7142362325819627,259101.0,0.8980069673517614,123317.0,97044.0,1,'0-5,5
12330.0,-0.26622516019879,1943.0,-0.1073428106648623,3651,0.2297003493567413,5518,0.2814175843516681,15044.0,-0.2196456476725695,2769.0,4043.0,1,'2-5,17
28355.0,-0.2018961839265131,14724.0,-0.0584728715038665,288,-0.8629188464896032,324,-0.683036525289375,32764.0,-0.1112108298684354,10491.0,20940.0,1,'1-5,11
28166.0,-0.1189829531506115,34748.0,0.0236663091312606,266,-0.8258648041956836,225,-0.7147835958677975,37302.0,-0.1040788171246856,28691.0,27109.0,1,'1-5,11
6948.0,-0.3280545862227636,2566.0,-0.1065962193051497,3213,0.1134710030159852,4097,0.0725072635913589,10443.0,-0.2321999440776632,1340.0,1771.0,1,'2-5,17
329.0,-0.3795955091577567,312.0,-0.1082801714256371,477,-0.4980790454417803,518,-0.4338037758058969,1304.0,-0.2730814661369654,302.0,636.0,1,'1-5,11
4959.0,-0.3094408094721117,1821.0,-0.1066645194610856,4675,0.877037635243677,5604,0.4100479565228628,14676.0,-0.2039704172281637,1713.0,2913.0,1,'1-4,10
48313.0,-0.0455119210489106,3783.0,-0.0979032580789697,632,-0.8230144932499975,0,-0.719892319868923,51453.0,-0.0482927996359034,45174.0,40628.0,1,'1-5,11
5578.0,-0.3054848283704664,1138.0,-0.1097733541450622,3019,0.2857564646219016,3831,0.0993280645972676,10704.0,-0.2237544251817161,1663.0,4093.0,1,'2-5,17
39468.0,-0.0963590711787644,7297.0,-0.08712360933006,0,-0.890155151081715,0,-0.7162432312966904,34998.0,-0.1157863905556356,29553.0,22119.0,1,'1-5,11
5900.0,-0.3196505865690196,1151.0,-0.1072038551751997,2226,-0.1728268964173757,3111,-0.0597721971520682,9671.0,-0.2369166252605541,912.0,1665.0,1,'2-5,17
39722.0,72211.0,18531.0,29514.0,311,177.0,0,0.0,50060.0,45823.0,31502.0,33985.0,0,'4-2,26
