FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Cluster
4457.0,16242.0,815.0,2428.0,10809.0,13105.0,16499,19613,6391.0,7822.0,25.0,723.0,19.3,Syn,6
575053.0,714261.0,835030.0,1142650.0,9809.0,6635.0,4887,4794,278688.0,239326.0,124535.0,112567.0,19.3,Crypto,1
2944.0,7906.0,1340.0,3594.0,2205.0,3272.0,2994,4573,8436.0,11061.0,3367.0,2963.0,19.3,Syn,6
288525.0,405148.0,33718.0,53361.0,8333.0,7624.0,1036,878,389424.0,336367.0,160752.0,147938.0,19.3,Nano1,2
93843.0,148928.0,8900.0,14096.0,183.0,93.0,614,238,57990.0,54311.0,46872.0,45553.0,19.4,PEuk1,4
466014.0,629545.0,310067.0,456987.0,5793.0,5025.0,1401,859,257564.0,225860.0,140616.0,121427.0,19.4,PEuk2,5
8222.0,18463.0,2231.0,4429.0,4064.0,4856.0,5799,6660,14200.0,16344.0,1395.0,1247.0,19.4,Syn,6
22602.0,36053.0,3723.0,7631.0,3020.0,2746.0,8955,8908,22775.0,21408.0,10412.0,11624.0,19.4,Syn,6
3921.0,9682.0,3017.0,6214.0,2394.0,2705.0,4196,4819,11773.0,13984.0,2031.0,2578.0,19.5,Syn,6
24959.0,54549.0,3992.0,8647.0,967.0,707.0,201,124,30962.0,29232.0,18872.0,20825.0,19.5,PEuk1,4
25938.0,34137.0,10872.0,16761.0,361.0,298.0,0,0,25152.0,25556.0,14860.0,17805.0,19.6,PEuk1,4
7987.0,31121.0,1586.0,4957.0,3503.0,4477.0,4529,5679,14476.0,17830.0,1094.0,2286.0,19.6,Syn,6
6414.0,15449.0,2377.0,5054.0,2383.0,2570.0,3081,3503,9342.0,10219.0,1319.0,2590.0,19.6,Syn,6
53194.0,87610.0,2322.0,4873.0,0.0,17.0,223,159,44998.0,43539.0,29102.0,39102.0,19.6,PEuk1,4
121063.0,185024.0,17848.0,29813.0,448.0,279.0,131,70,98448.0,81211.0,33272.0,29623.0,19.6,PEuk1,4
15065.0,36822.0,4610.0,9576.0,1934.0,2088.0,5187,5215,14219.0,14530.0,5060.0,6001.0,19.7,Syn,6
1147.0,7555.0,420.0,2089.0,758.0,1499.0,1450,3545,4533.0,10306.0,851.0,2247.0,19.7,Syn,6
2639.0,12549.0,75.0,987.0,538.0,1318.0,1147,3275,3016.0,8600.0,0.0,423.0,19.7,Syn,6
1613.0,7851.0,377.0,3226.0,179.0,154.0,158,43,2134.0,4550.0,9778.0,23939.0,19.7,PEuk1,4
26151.0,46272.0,11809.0,20895.0,559.0,308.0,406,308,31896.0,32222.0,14783.0,26520.0,19.7,PEuk1,4
37665.0,59678.0,22631.0,35433.0,551.0,289.0,203,72,49128.0,46315.0,34441.0,35581.0,19.7,PEuk1,4
15531.0,23681.0,3644.0,8240.0,5453.0,5882.0,6741,7113,19508.0,19946.0,4693.0,4110.0,19.8,Syn,6
40893.0,66680.0,3271.0,4705.0,454.0,302.0,261,93,34062.0,31460.0,27471.0,24487.0,19.8,PEuk1,4
3458.0,10685.0,3675.0,7993.0,2606.0,3057.0,3712,4385,10615.0,11977.0,1479.0,2595.0,19.8,Syn,6
42612.0,63752.0,10963.0,18542.0,366.0,188.0,228,72,45552.0,40017.0,36975.0,33287.0,19.8,PEuk1,4
16709.0,19435.0,3546.0,5667.0,3041.0,2715.0,3958,3899,11648.0,12267.0,2978.0,3066.0,19.8,Syn,6
7413.0,10210.0,2394.0,4427.0,2480.0,2477.0,3608,3940,11294.0,11550.0,3195.0,2763.0,19.9,Syn,6
3194.0,11217.0,1311.0,3963.0,2032.0,2419.0,2271,2876,5706.0,6597.0,495.0,1925.0,19.9,Syn,6
13107.0,30661.0,2585.0,5553.0,2355.0,2487.0,6222,6737,13186.0,15011.0,3811.0,4442.0,20.0,Syn,6
9222.0,17016.0,1950.0,2941.0,1894.0,1513.0,5129,5408,12791.0,12579.0,3007.0,4154.0,20.0,Syn,6
