FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4
7118.0,12935.0,1735.0,3482.0,3132,3380,4864,5194,11699.0,11856.0,1349.0,2104.0,239.3,1,-0.5412538833734566,0.4080417676740742,0.2250760638399679,-0.1998897784776368
49231.0,66453.0,7408.0,11596.0,98,54,67,38,54461.0,49599.0,45209.0,38145.0,239.3,0,-0.7521867624362965,-0.76405061500139,-0.3391075126481145,0.2385409521648475
95242.0,150518.0,2837.0,4315.0,454,230,204,112,86177.0,78059.0,65442.0,57977.0,239.4,0,-0.5434966046016796,-0.7463865384325827,-0.361387627446508,0.2425311551335455
278653.0,406556.0,8378.0,12614.0,450,354,585,187,313939.0,260975.0,122393.0,113482.0,239.4,0,0.1719701947323385,-0.8668808431695747,-0.6316033538499043,0.3347845191748259
123360.0,183927.0,33476.0,52007.0,9257,8721,10751,11191,27827.0,25988.0,4997.0,5534.0,239.4,-1,0.4563871521401137,2.0151189326232624,1.1836245297114505,-0.8327515162904264
4416.0,8315.0,1285.0,1963.0,4759,4958,5809,6238,13602.0,13928.0,670.0,2976.0,239.6,1,-0.3619468100105706,0.8085605824497369,0.5366019638615568,-0.4771590275335355
17483.0,32766.0,1235.0,2406.0,3777,3761,5796,6097,16922.0,16342.0,3507.0,3460.0,239.6,1,-0.4378995357095902,0.5825150980156001,0.2757069378913991,-0.2393052240629557
10413.0,17159.0,3196.0,5552.0,5610,5788,6656,7112,14632.0,13611.0,1465.0,1937.0,239.8,1,-0.2464240767386343,1.05184170202105,0.685040698001418,-0.5928008988956173
44201.0,74983.0,6915.0,10887.0,442,301,103,76,46553.0,39839.0,38775.0,31482.0,239.8,0,-0.7370545790674189,-0.7020509019289174,-0.2641742814959325,0.2058639780058679
179327.0,272238.0,71140.0,111310.0,7783,7525,14351,13239,41082.0,38169.0,16227.0,13941.0,239.8,-1,0.547496991339382,2.0170555419447376,0.7455991575673386,-0.3539820949144494
218243.0,328723.0,11857.0,15967.0,805,548,68,153,127393.0,111737.0,121931.0,112062.0,239.8,0,-0.105730257089944,-0.7667956734494044,-0.40900577851193,0.3099919856937591
474195.0,663797.0,19812.0,30284.0,1280,1334,17380,16164,153618.0,135642.0,109653.0,104513.0,239.9,-1,0.7407413393844203,1.0081774926866616,-1.1785579385931946,1.1876089244545935
992.0,4787.0,621.0,2382.0,127,46,127,0,11991.0,21165.0,2438.0,4156.0,240.2,-1,-0.9503685479150452,-0.7175322407155542,-0.2627606321430589,0.219475297190548
2124.0,13073.0,121.0,1732.0,201,149,122,0,2210.0,4969.0,2570.0,4257.0,240.2,-1,-0.9484782281384836,-0.6955661739337747,-0.2321924420362867,0.219056842721569
