FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3
5574.0,11219.0,1683.0,3558.0,3802,4721,5658,6551,17693.0,19671.0,1146.0,3469.0,24.9,1,-0.4579923976081164,0.5313523375879062,-0.029833341592747
8144.0,19965.0,1937.0,3019.0,2482,2490,3397,3502,10877.0,11001.0,2608.0,3869.0,24.9,1,-0.5416596147487932,-0.2489386961252402,0.0268742230258959
10361.0,20065.0,3103.0,5071.0,1131,1395,3055,2994,8754.0,9726.0,3080.0,4244.0,25.2,1,-0.6013865864190339,-0.5849709880054682,0.0152667900539149
3440.0,12369.0,2152.0,6944.0,186,148,159,56,13951.0,18387.0,977.0,2167.0,25.7,0,-0.6718147654588951,-1.2453798028743863,0.0531355672009358
11185.0,23713.0,1052.0,3507.0,4843,5022,6992,7356,20270.0,20902.0,3308.0,4677.0,25.9,1,-0.3792863602061432,0.8263353014973949,-0.0338805276862194
7787.0,18903.0,1812.0,3566.0,3102,3599,4235,4693,11664.0,11848.0,2088.0,3289.0,26.0,1,-0.5049749758896411,0.0925197256600887,0.0143522213803316
3737.0,11517.0,2111.0,4769.0,1425,1974,2070,2978,6212.0,9292.0,570.0,1022.0,26.2,1,-0.6210194920360721,-0.5492718582113507,0.0349491416759106
6154.0,21664.0,1888.0,4287.0,1997,2196,4065,4660,11147.0,13290.0,3200.0,4026.0,26.3,1,-0.5522194429346268,-0.2070564151032256,-0.0090283606436714
1741.0,9151.0,1041.0,4343.0,852,1150,1924,2825,7083.0,10727.0,1176.0,1577.0,26.4,1,-0.6520512621907567,-0.7294213259716822,0.0191807683599269
18169.0,15522.0,1550.0,3823.0,4928,3808,4469,4637,13840.0,13091.0,3476.0,2597.0,27.1,-1,-0.4274825966469266,0.3283264366990067,0.0487233394936429
2838.0,6758.0,1819.0,3183.0,3576,3871,4786,5459,16425.0,18241.0,621.0,2047.0,27.2,1,-0.4954474331849135,0.2704824906762713,-0.0088221374112974
203458.0,297447.0,22759.0,36836.0,583,362,185,165,223640.0,198453.0,150080.0,118556.0,27.3,-1,0.7770016082936866,-1.3604324720200187,-0.3473793105346434
83028.0,125889.0,5767.0,8880.0,300,127,206,82,124019.0,108440.0,39668.0,38869.0,27.7,0,-0.1003550564070916,-1.3076987215819234,-0.1225017383689679
5235.0,12059.0,2595.0,6321.0,2397,2591,4227,4680,15123.0,17817.0,1169.0,2546.0,28.0,1,-0.542046933908565,-0.1039525209689165,-0.0097625707306505
5723.0,11172.0,1041.0,2892.0,1208,1303,2181,2465,5787.0,6175.0,1377.0,1617.0,28.2,1,-0.6381542340188504,-0.6809062120422326,0.0360839581341774
5337.0,16739.0,1371.0,2558.0,3090,3438,4540,5313,14259.0,17074.0,2009.0,2291.0,28.2,1,-0.5039565224929959,0.1379692955285859,-0.007267832002838
7397.0,13917.0,2286.0,4795.0,3506,3665,4445,4663,10893.0,10837.0,177.0,3484.0,28.2,1,-0.4985836956095698,0.157776737791596,0.021673489751237
1829.0,10537.0,430.0,1763.0,1396,2367,1760,2873,6209.0,10622.0,594.0,1113.0,28.4,1,-0.6231753442213038,-0.5354221567571347,0.0330367138431852
25860.0,43623.0,13044.0,22924.0,246,248,105,83,43767.0,43607.0,13703.0,27223.0,28.4,0,-0.4630011891869353,-1.257339794158799,-0.0041381279980767
