FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2,PC3,PC4,PC5
454.0,2199.0,99.0,1012.0,195,182,141.0,18.0,1492.0,8422.0,4101.0,7456.0,18.5,0,-0.7420613107199932,-0.5984246178949375,-0.295134175613313,-0.3817597539104327,-0.008984552842001
14285.0,22468.0,2411.0,6042.0,5956,7646,7417.0,9547.0,19394.0,24021.0,1094.0,3730.0,18.9,1,-0.0891001867469244,1.167591068634,0.6053866977416285,0.9493214846720032,0.2408422089125854
2402.0,15569.0,621.0,3602.0,1549,3126,2159.0,4561.0,6203.0,13142.0,1736.0,3453.0,18.9,1,-0.5427343274053675,0.0384080525734872,0.0064747063807161,0.0618871927260977,0.104026867081282
6715.0,13076.0,837.0,3424.0,1475,2123,2034.0,2773.0,6117.0,8763.0,422.0,915.0,18.9,1,-0.5902340599362763,-0.1442014515301579,-0.0630504341971351,-0.068515535564048,0.0579860559262832
972.0,3949.0,0.0,234.0,1915,3192,2578.0,4518.0,6959.0,12390.0,661.0,1034.0,19.0,1,-0.5381203539900147,0.0845461196169727,0.0295959897529328,0.1032882569639241,0.1162636429518894
2612.0,9401.0,767.0,2420.0,1577,2210,1725.0,2302.0,3892.0,5063.0,702.0,1977.0,19.1,1,-0.5934101034522424,-0.1468781855968232,-0.0399093277345657,-0.0327506098042183,0.0679617931755137
278132.0,512557.0,24280.0,46324.0,376,279,137.0,147.0,25402.0,29608.0,19780.0,25471.0,19.3,-1,0.1092170674547849,-0.7190022669863788,0.0056716025786475,-0.7051347959371151,-0.7692376539766349
189810.0,348876.0,28765.0,51058.0,299,389,55.0,79.0,178764.0,206336.0,70848.0,89884.0,19.6,-1,0.254813870752456,-0.7572951062356704,-0.4191030568506327,-0.4267669519907025,-0.5289351934355571
5376.0,12437.0,1235.0,3982.0,11611,14742,15644.0,19869.0,22019.0,25181.0,6099.0,9104.0,19.6,-1,0.4965577466556746,2.9384604967813357,1.4218376714251648,2.2157150179359646,0.5122647881460854
45365.0,92177.0,3822.0,7941.0,236,193,273.0,122.0,53726.0,60802.0,24470.0,25958.0,19.7,0,-0.4877170616278549,-0.6368131765118622,-0.3406299740585474,-0.3976311335565267,-0.1372908001848654
5089.0,12338.0,235.0,1485.0,3902,5524,4856.0,6556.0,11247.0,15542.0,24.0,1369.0,19.8,1,-0.3231451414043511,0.6202924379852386,0.3351189120794556,0.5486684157042246,0.1876394778150468
12708.0,29709.0,2346.0,3900.0,4668,5424,6735.0,8511.0,19473.0,24369.0,4227.0,5251.0,19.8,1,-0.2244321711479467,0.758062342126376,0.3267055223229868,0.5331914555742218,0.1417283533933371
3959.0,14601.0,935.0,2770.0,1818,2772,2260.0,3560.0,7394.0,11608.0,2129.0,2308.0,19.9,1,-0.5419749733544543,-0.0135286897205113,0.003400901199814,0.0444137269690629,0.0842193594391076
136433.0,253403.0,12467.0,23381.0,375,306,431.0,259.0,84270.0,97374.0,68066.0,96329.0,19.9,-1,-0.0421276992619188,-0.6897883902885282,-0.3783708649938196,-0.4142743365122895,-0.4165767102524274
111649.0,180995.0,11827.0,16747.0,91,131,302.0,209.0,34275.0,38743.0,36078.0,37987.0,20.0,-1,-0.3562007420411028,-0.675839038221057,-0.2873002042438954,-0.4921142722107841,-0.2885045076296296
6494.0,15592.0,1489.0,3626.0,4164,5438,5470.0,6990.0,15281.0,19458.0,1654.0,4739.0,20.0,1,-0.2898042135652616,0.6527177887790477,0.3254959900070824,0.5427983131336327,0.1724340800557683
174868.0,329566.0,26168.0,45621.0,672,560,0.0,33.0,117782.0,129607.0,67473.0,86747.0,20.4,-1,0.1360372542086099,-0.6843685502884765,-0.2956372658029913,-0.3963132030226551,-0.4952198970703984
27985.0,51346.0,8266.0,14049.0,221,244,361.0,177.0,32069.0,34876.0,32713.0,28566.0,20.5,0,-0.565746332307209,-0.6137599951682172,-0.3351648160759898,-0.3804172680021246,-0.0708291795715979
61752.0,101461.0,13498.0,22418.0,396,304,0.0,39.0,78998.0,88111.0,59604.0,72455.0,20.5,0,-0.3122099798174281,-0.656919412356988,-0.4148074195558732,-0.3230151186241492,-0.1697378788920564
36219.0,78203.0,6497.0,12875.0,420,217,134.0,73.0,40027.0,46723.0,34675.0,43939.0,20.7,0,-0.4811467482011518,-0.6266075043073785,-0.3417030924758488,-0.362104032860044,-0.1275869774541195
3084.0,10567.0,617.0,2116.0,650,1490,876.0,2290.0,2401.0,6176.0,1190.0,1359.0,20.8,1,-0.6707429697379504,-0.3198549400046207,-0.1598058339060052,-0.2056823790337763,0.0450280778602519
5394.0,13735.0,0.0,844.0,438,1330,657.0,1977.0,1399.0,5195.0,538.0,1362.0,20.8,1,-0.6868880069661243,-0.3691864182121197,-0.1800583980150842,-0.2413164644314941,0.0343782023653283
5793.0,15337.0,1409.0,3371.0,180,135,95.0,38.0,11793.0,12385.0,26759.0,23893.0,20.8,0,-0.6758054157797335,-0.6207555212681384,-0.3358093200353615,-0.3792754339056053,-0.0249626425512389
