FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,PC1,PC2
4161.0,8948.0,851.0,1906.0,2486,3508,2871.0,4183.0,6841.0,9964.0,2742.0,2515.0,181.9,7,-109512.07989647762,-26275.81826838213
314853.0,467771.0,113416.0,168410.0,538,198,119.0,85.0,168301.0,149116.0,93207.0,81065.0,181.9,-1,216100.4432292913,48551.59772243927
5706.0,14745.0,1417.0,4836.0,2014,1894,3179.0,3532.0,7322.0,8241.0,626.0,2091.0,182.0,7,-108854.54623647932,-27247.18529551273
42567.0,66514.0,13088.0,19679.0,305,205,207.0,91.0,43695.0,39356.0,36253.0,25936.0,182.0,-1,-54278.58445286477,6095.591097605011
19124.0,38549.0,3197.0,5914.0,13349,14303,15702.0,16451.0,36737.0,38181.0,3942.0,7844.0,182.1,3,-85845.35284358966,-7044.070916711771
4948.0,9525.0,3060.0,6157.0,4065,4846,5316.0,6027.0,14892.0,16499.0,3536.0,3588.0,182.1,7,-103359.93399779793,-21845.31100481996
76447.0,126149.0,5534.0,8766.0,330,208,0.0,23.0,94397.0,77888.0,31756.0,29799.0,182.2,-1,-21241.37766056193,42122.41432825154
11733.0,23925.0,1138.0,2968.0,12092,13676,13192.0,14617.0,25482.0,27734.0,4887.0,4282.0,182.2,-1,-96168.09330573968,-13206.294865070828
3835.0,8266.0,341.0,1599.0,687,2862,1197.0,3142.0,1620.0,5915.0,361.0,718.0,182.2,7,-113445.43573611692,-30630.16976245957
2279.0,5982.0,499.0,1723.0,2648,3457,3209.0,4275.0,8262.0,11248.0,2344.0,2951.0,182.2,7,-109919.15950214228,-25134.94230444144
70434.0,106663.0,13196.0,19692.0,325,247,251.0,110.0,69616.0,64262.0,59303.0,59509.0,182.2,-1,-18594.455918665044,36717.15512059245
23565.0,41011.0,4373.0,6213.0,149,133,0.0,0.0,34566.0,34122.0,12485.0,26863.0,182.2,-1,-79141.55271443489,-2894.31165473683
500412.0,636642.0,144104.0,207591.0,237,297,27.0,105.0,355205.0,292245.0,182948.0,142854.0,182.2,-1,440411.2888732382,192067.25233751076
36972.0,48617.0,30104.0,46464.0,29,66,141.0,104.0,39771.0,35082.0,35270.0,30601.0,182.2,-1,-46223.98499360142,-6462.561068689953
22237.0,42315.0,3623.0,5657.0,9402,10028,12208.0,11674.0,31994.0,28900.0,7493.0,7661.0,182.3,3,-85606.02658854332,-9220.588465766075
2274.0,10328.0,607.0,2171.0,98,20,96.0,39.0,3744.0,6361.0,1704.0,2134.0,182.4,7,-112337.9823504697,-28585.83764291808
627.0,2687.0,85.0,2103.0,67,0,130.0,103.0,3586.0,4720.0,465.0,675.0,182.4,7,-114034.20174684766,-29031.96630193859
455724.0,560710.0,36993.0,52750.0,1544,991,272.0,130.0,761654.0,609769.0,323124.0,245118.0,182.4,-1,595097.4178280466,600198.6376634568
7803.0,12953.0,1793.0,3730.0,3602,3769,5089.0,5180.0,13633.0,13755.0,4384.0,3336.0,182.4,7,-103445.01151042168,-21704.59963626341
6486.0,16383.0,2509.0,5370.0,10558,12134,11096.0,12867.0,20425.0,22198.0,0.0,2506.0,182.4,7,-101480.23923411305,-19419.105343073355
1604.0,3907.0,1194.0,2293.0,4661,7312,5130.0,8002.0,10575.0,15318.0,605.0,2829.0,182.5,7,-109075.39354563168,-24697.552260144275
1800820.0,1144770.0,3352730.0,2659330.0,9402,4244,2697.0,1200.0,897304.0,480514.0,615372.0,300259.0,182.5,-1,3644273.161332391,-1285259.528215628
27342.0,47652.0,12021.0,17600.0,140,128,367.0,143.0,37130.0,33090.0,26372.0,27236.0,182.6,-1,-67164.75361530259,-692.8725207449897
8561.0,15034.0,1534.0,3397.0,1652,1567,2774.0,2624.0,8672.0,8208.0,1628.0,2376.0,182.8,7,-106591.12745889377,-26087.27258594032
64065.0,98855.0,19415.0,31553.0,382,134,223.0,142.0,72378.0,69486.0,49008.0,51601.0,182.8,-1,-19571.969140680943,29623.937183856568
2871.0,7828.0,1084.0,2722.0,1483,2130,2263.0,3185.0,5669.0,8449.0,1346.0,2812.0,182.9,7,-110803.05392223615,-27646.55913441599
4049.0,9654.0,1538.0,3730.0,2211,3030,2724.0,3817.0,7116.0,10127.0,960.0,1191.0,182.9,7,-109623.00615164592,-27423.25375369089
44404.0,66087.0,7458.0,10771.0,462,221,0.0,0.0,45433.0,38374.0,32824.0,28930.0,183.0,-1,-57056.448186351445,9936.309880703
5082.0,14457.0,1865.0,2828.0,2878,3033,4242.0,4782.0,9840.0,11017.0,1682.0,2466.0,183.0,7,-107248.05409291812,-25362.15665178547
30134.0,60694.0,3589.0,6529.0,412,242,40.0,13.0,37385.0,35170.0,23731.0,24675.0,183.1,4,-72837.84411613202,3157.977893735017
63620.0,93743.0,4610.0,4900.0,76,152,0.0,32.0,80842.0,74617.0,47538.0,62940.0,183.1,-1,-24752.814017976387,45708.53385304845
2476.0,13776.0,1009.0,4268.0,1443,2487,2075.0,3507.0,5872.0,10331.0,761.0,1840.0,183.2,7,-111228.92696181116,-27839.401651554486
4244.0,15829.0,0.0,564.0,640,1569,624.0,1718.0,1720.0,5048.0,509.0,707.0,183.2,7,-113424.23988022128,-30312.54101096399
4477.0,18487.0,1913.0,4424.0,1990,2844,2840.0,4472.0,7177.0,12395.0,1503.0,1898.0,183.2,7,-108897.97526637824,-27302.531796781164
3323.0,7261.0,0.0,443.0,946,3023,1172.0,3440.0,3470.0,8594.0,0.0,130.0,183.2,7,-113194.19220648288,-29412.92854470524
14429.0,28926.0,3306.0,6585.0,4934,5200,6617.0,6730.0,19334.0,17864.0,3489.0,5175.0,183.3,7,-96755.19069053043,-19124.95971205915
264639.0,355835.0,276110.0,386194.0,5498,4879,8099.0,7770.0,23673.0,22369.0,9150.0,7697.0,183.4,-1,205347.2875591318,-190876.3923731046
11410.0,21798.0,365.0,1326.0,5555,5854,7559.0,8239.0,20604.0,22555.0,1936.0,3961.0,183.4,7,-100085.91066085616,-17160.3689820831
4101.0,10198.0,1388.0,4547.0,2580,2743,3116.0,3403.0,8589.0,9139.0,706.0,1930.0,183.4,7,-108950.5968055666,-26331.75790288139
13336.0,25905.0,2840.0,5180.0,188,118,222.0,155.0,25290.0,25898.0,7689.0,13437.0,183.5,-1,-92360.31686357693,-11886.996522831723
16842.0,31400.0,2126.0,5628.0,3877,3573,5904.0,5874.0,18937.0,18304.0,2047.0,3619.0,183.5,7,-97365.0607026744,-19554.658018528866
21444.0,26013.0,3009.0,6406.0,7188,7126,8789.0,8764.0,25010.0,22935.0,5333.0,3973.0,183.5,6,-90890.58998015638,-14893.4396194598
18857.0,32086.0,7918.0,14752.0,6163,6140,8038.0,8057.0,23491.0,24830.0,3218.0,5373.0,183.6,-1,-89659.42265003215,-19442.197599833555
32546.0,25548.0,1706.0,2917.0,4179,3575,5279.0,4976.0,15602.0,15879.0,4522.0,3010.0,183.7,-1,-91970.84464622928,-21172.8627320952
31775.0,66034.0,6150.0,8862.0,333,242,112.0,56.0,47170.0,44233.0,24194.0,39056.0,183.8,-1,-63357.98981929574,10547.713330562034
453302.0,617770.0,17462.0,21094.0,488,440,9794.0,8875.0,232346.0,203008.0,210831.0,156724.0,183.8,-1,281894.2835289144,203747.95128250463
1518.0,9845.0,554.0,5021.0,118,16,266.0,253.0,1873.0,4420.0,9854.0,19538.0,183.8,7,-108824.36549705466,-23746.75549129946
