FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
40919.0,63762.0,11046.0,22195.0,174.0,248.0,250,145,45128.0,51437.0,31527.0,39292.0,19.3,1,31.55986,-39.249527
861.0,5389.0,626.0,2933.0,438.0,1306.0,515,1820,1711.0,5601.0,1023.0,2226.0,19.3,0,-74.852165,-28.883095
16707.0,36001.0,5194.0,10195.0,287.0,189.0,0,0,28573.0,33552.0,10804.0,23540.0,19.3,-1,-7.7262826,-35.240967
370340.0,556529.0,211898.0,341652.0,10062.0,10565.0,9097,10339,52292.0,55046.0,30577.0,31247.0,19.4,0,23.844889,15.763168
18290.0,28098.0,13402.0,25453.0,1662.0,1788.0,3356,3912,9598.0,10975.0,1903.0,4684.0,19.4,0,-18.702442,-6.48798
83916.0,147545.0,11960.0,22060.0,442.0,482.0,0,0,58618.0,60800.0,44004.0,46003.0,19.4,-1,59.759354,-19.351152
28424.0,47080.0,6418.0,10739.0,186.0,153.0,261,239,30147.0,34072.0,21853.0,25184.0,19.5,1,3.7465234,-33.561703
3112.0,12617.0,1127.0,3179.0,1434.0,2262.0,2272,3526,5858.0,9642.0,851.0,1300.0,19.5,0,-52.963863,3.1869085
8843.0,24555.0,2083.0,3847.0,2736.0,2845.0,3936,4672,11568.0,12728.0,3607.0,3431.0,19.6,0,-0.29779375,13.6086855
6912.0,18413.0,2669.0,6119.0,164.0,105.0,160,55,16453.0,20883.0,3563.0,11521.0,19.7,1,-25.238913,-48.799255
28445.0,51168.0,11778.0,22625.0,291.0,196.0,241,133,39435.0,46073.0,10193.0,32369.0,19.8,1,10.350591,-42.180344
40646.0,73940.0,13898.0,24290.0,130.0,268.0,324,196,37582.0,40242.0,32031.0,35740.0,20.0,1,33.77412,-26.548601
12970.0,30443.0,2305.0,5832.0,387.0,221.0,118,47,15895.0,18415.0,6730.0,15163.0,20.0,1,-25.155209,-39.38479
16969.0,38798.0,1953.0,4836.0,216.0,163.0,206,127,15786.0,18455.0,3875.0,9862.0,20.1,1,-26.39569,-34.51306
5681.0,15486.0,0.0,926.0,174.0,99.0,241,123,4793.0,5021.0,1685.0,1354.0,20.1,1,-35.787254,-61.81303
472.0,2345.0,569.0,2041.0,201.0,108.0,197,199,4358.0,5970.0,851.0,1739.0,20.1,1,-28.244574,-70.44871
166474.0,155714.0,49671.0,52728.0,4417.0,2476.0,914,474,672776.0,405690.0,395432.0,246669.0,20.1,1,68.28745,15.137984
3365.0,16018.0,1400.0,5735.0,1519.0,2122.0,1839,2635,5185.0,7575.0,31.0,56.0,20.1,0,-64.60017,-9.761928
1891.0,10494.0,494.0,2471.0,2195.0,4593.0,2483,4927,5648.0,12127.0,711.0,1379.0,20.2,0,-36.83748,26.806454
1051.0,6521.0,0.0,810.0,1653.0,4460.0,1821,4761,4546.0,11928.0,100.0,350.0,20.2,0,-48.762196,22.443436
12175.0,23447.0,2646.0,6284.0,2344.0,2917.0,4265,4779,12944.0,14295.0,3718.0,3993.0,20.2,0,-0.1788158,14.5070305
5172.0,10141.0,1282.0,2421.0,4263.0,5531.0,4878,6158,10757.0,13629.0,2140.0,2544.0,20.2,0,-15.961274,50.80691
14821.0,27856.0,4135.0,5579.0,393.0,352.0,131,171,18936.0,19374.0,8556.0,16415.0,20.2,1,-22.546703,-40.73834
5548.0,15822.0,853.0,2583.0,2696.0,3144.0,3256,4101,7527.0,9096.0,0.0,1347.0,20.3,0,-28.105898,7.282298
5968.0,20789.0,552.0,3464.0,1318.0,2260.0,1606,3128,4019.0,7261.0,1757.0,1983.0,20.4,0,-65.75294,-0.01237754
627.0,2579.0,2205.0,6252.0,1860.0,3576.0,2322,4329,5960.0,11003.0,741.0,1221.0,20.5,0,-42.223984,16.818668
4299.0,13737.0,1210.0,2378.0,6436.0,8041.0,7575,9150,17493.0,20483.0,1739.0,3830.0,20.5,0,29.855062,56.878983
149588.0,239450.0,14599.0,21381.0,194.0,218.0,278,148,163620.0,160083.0,87217.0,86143.0,20.5,1,69.97492,-0.088575974
1288.0,4403.0,5812.0,12208.0,2237.0,4392.0,3166,6426,7947.0,14695.0,1646.0,1981.0,20.6,0,-27.342396,45.074345
879.0,2837.0,1146.0,3693.0,3134.0,6041.0,3665,7672,10085.0,21131.0,1395.0,3357.0,20.6,0,16.150303,56.544353
2376.0,6853.0,1484.0,4224.0,5963.0,7435.0,7864,9720,18464.0,22670.0,524.0,1335.0,20.6,0,30.46159,53.404484
2764.0,7420.0,1409.0,3756.0,2604.0,3804.0,3395,5113,8532.0,12737.0,2126.0,2809.0,20.7,0,-25.308346,26.429688
15962.0,30697.0,3858.0,6372.0,3478.0,4184.0,4277,4499,14201.0,15804.0,3441.0,3330.0,20.8,0,-4.7777553,8.874536
3947.0,11277.0,882.0,1742.0,1227.0,2737.0,1419,3875,3726.0,10111.0,1938.0,1981.0,20.9,0,-57.112362,13.001739
2131.0,8010.0,806.0,3089.0,1103.0,1467.0,1656,2285,5129.0,7315.0,725.0,1941.0,20.9,0,-65.53244,-17.661148
17661.0,36556.0,2926.0,5598.0,324.0,194.0,29,36,24677.0,24348.0,15769.0,23402.0,21.0,1,-10.735778,-35.25126
13217.0,23428.0,2133.0,4842.0,1172.0,1238.0,2527,2618,7768.0,8596.0,693.0,3256.0,21.0,0,-55.48544,-18.577248
1082090.0,1169570.0,201111.0,241118.0,1555.0,1115.0,863,400,182862.0,144737.0,92520.0,70522.0,21.0,1,76.65327,23.048231
25025.0,33334.0,7801.0,13285.0,656.0,265.0,257,137,28271.0,29741.0,21114.0,23839.0,21.1,1,-7.9384136,-40.80909
5915.0,15705.0,1917.0,3920.0,3887.0,4096.0,4371,4743,10041.0,10877.0,3397.0,3118.0,21.1,0,-4.7624183,21.896109
12570.0,19048.0,3498.0,5823.0,3865.0,4249.0,5799,6027,16514.0,16471.0,3697.0,3133.0,21.2,0,-4.2726746,56.461323
1884.0,3727.0,1012.0,3829.0,1499.0,1398.0,2149,2316,6314.0,6598.0,608.0,882.0,21.2,0,-61.473255,-16.96056
25623.0,37813.0,5602.0,9798.0,180.0,226.0,228,96,22334.0,23019.0,11674.0,17031.0,21.2,1,-18.985237,-31.724136
11092.0,13886.0,662.0,2455.0,2241.0,1955.0,3706,3804,9393.0,9166.0,3122.0,2338.0,21.3,0,-22.730968,-3.809759
12437.0,32272.0,1937.0,5524.0,7475.0,8492.0,10488,12013,27210.0,30445.0,2242.0,3586.0,21.4,0,35.007187,29.843702
9105.0,23417.0,1809.0,3225.0,2724.0,3171.0,3491,3938,10562.0,11791.0,389.0,1022.0,21.5,0,-16.501537,-4.484933
6676.0,14416.0,1817.0,4856.0,7813.0,8563.0,8124,8903,18410.0,19588.0,3121.0,2965.0,21.5,0,32.333656,54.35072
3576.0,11645.0,811.0,2769.0,3709.0,5687.0,4571,6921,11127.0,16832.0,0.0,199.0,21.5,0,-22.652357,53.404747
874.0,3046.0,626.0,1708.0,886.0,1937.0,1097,2791,2819.0,7371.0,437.0,1072.0,21.6,0,-73.07529,-8.498899
8152.0,27042.0,746.0,2768.0,3626.0,4563.0,5268,6674,14800.0,18177.0,1404.0,3381.0,21.6,0,-18.615131,55.33041
5511.0,15451.0,1512.0,4040.0,1312.0,1500.0,1943,2893,6582.0,8873.0,2294.0,1787.0,21.8,0,-59.75687,-11.106811
223905.0,355131.0,35290.0,55584.0,1324.0,1263.0,491,228,173705.0,161858.0,81072.0,93295.0,21.8,1,59.8499,4.092145
28813.0,44123.0,4253.0,7680.0,3458.0,3527.0,5464,5674,16919.0,17112.0,4081.0,4617.0,21.9,0,7.188071,41.661484
6295.0,8879.0,2260.0,7202.0,2607.0,2821.0,3468,3693,8483.0,8459.0,3855.0,3221.0,21.9,0,-26.504879,-3.1456861
15707.0,38324.0,2028.0,5518.0,128.0,47.0,172,120,19718.0,22801.0,7885.0,18701.0,21.9,1,-20.402205,-34.566063
7801.0,20775.0,444.0,2129.0,4873.0,5172.0,6749,7837,18314.0,20400.0,3689.0,5246.0,22.0,0,18.25934,70.45804
5886.0,18653.0,1199.0,3407.0,4952.0,6273.0,6800,8661,19876.0,24996.0,731.0,3925.0,22.0,0,26.102362,60.91403
12323.0,16459.0,1186.0,2459.0,520.0,231.0,46,53,19575.0,19631.0,15134.0,16429.0,22.0,1,-22.538551,-46.650646
2990.0,14699.0,926.0,2816.0,3843.0,5602.0,5233,7364,12997.0,18523.0,33.0,109.0,22.0,0,14.108526,60.47599
20543.0,43471.0,8869.0,18895.0,2138.0,2349.0,4881,5660,13470.0,15627.0,1956.0,5099.0,22.1,0,8.481088,34.15674
31315.0,68846.0,29625.0,52620.0,284.0,153.0,4,13,36925.0,35619.0,21274.0,26499.0,22.1,1,18.059368,-33.329086
8964.0,20799.0,2413.0,6104.0,5813.0,6969.0,7695,8936,21378.0,24906.0,816.0,1601.0,22.1,0,30.728739,57.84383
14788.0,23587.0,2126.0,4863.0,4711.0,5201.0,6053,6582,14916.0,15288.0,2189.0,2558.0,22.2,0,-3.1676023,70.0077
5745.0,12978.0,5491.0,10158.0,360.0,314.0,146,71,14774.0,15570.0,1707.0,4632.0,22.2,1,-25.205683,-55.79295
12115.0,24468.0,2303.0,4847.0,1305.0,1370.0,3779,4110,11176.0,12133.0,4227.0,5432.0,22.3,0,-9.619111,-2.838295
45050.0,68939.0,3040.0,7055.0,248.0,223.0,184,114,58003.0,57611.0,32325.0,48083.0,22.3,1,42.54626,-35.175304
96149.0,136826.0,8853.0,14827.0,488.0,325.0,153,100,77722.0,78860.0,82395.0,71599.0,22.3,1,69.07906,-29.681252
1471.0,6883.0,765.0,3999.0,1774.0,3424.0,2486,5277,6341.0,14673.0,0.0,0.0,22.4,0,-34.787537,29.633434
61779.0,87696.0,21886.0,33438.0,8.0,145.0,266,92,67315.0,66832.0,46114.0,56632.0,22.4,1,58.333363,-37.45291
50269.0,73606.0,24594.0,36732.0,477.0,245.0,70,119,77741.0,78252.0,52187.0,61594.0,22.4,1,54.014374,-41.536076
42533.0,64157.0,8284.0,11674.0,0.0,31.0,58,89,40419.0,39129.0,31287.0,28254.0,22.5,1,26.046299,-26.302458
32024.0,57151.0,7331.0,13907.0,444.0,240.0,46,33,38722.0,40341.0,18854.0,34496.0,22.5,1,23.45897,-34.73101
