"FSC-A","FSC-H","SSC-A","SSC-H","FL1-A","FL1-H","FL2-A","FL2-H","FL3-A","FL3-H","FL4-A","FL4-H","Time"
11820,20197,2720,4017,5945,5979,7489,7592,17986,17306,2481,4366,5272.7
253385,334507,205958,295513,7786,7558,8707,8727,24377,25170,6635,6681,5272.7
1673,10190,801,3242,1577,2741,1998,3488,5805,10232,1752,3188,5272.7
4394,9673,894,3412,2045,2488,2089,2379,6364,7417,816,2436,5272.7
8983,19350,945,2707,3219,3717,3850,4560,9843,11778,646,1749,5272.7
11127,26779,9247,16813,152,127,316,187,18706,20787,11073,15477,5272.8
5552,25517,2358,6531,2373,3165,2969,3909,8533,11095,1464,2600,5272.8
35165,49309,3388,4880,644,235,239,197,35706,33263,30003,24862,5272.8
2172,12518,1134,3672,1435,2753,1898,3350,4277,7733,378,1828,5272.9
28712,47019,4286,8694,134,102,200,114,32468,29780,23190,22134,5272.9
7124,14597,1084,3049,1730,1897,2060,2310,4581,5403,644,1337,5272.9
6630,11620,4533,8838,146,109,0,0,18748,19695,5612,13887,5273
71198,123478,4857,7972,840,344,433,188,74325,66151,64316,58024,5273
7089,16338,798,2146,1813,1995,2910,3052,9551,11260,1921,2944,5273
6727,15057,2605,6443,3680,4107,5408,5821,11899,12307,4198,4118,5273.1
17953,36455,2629,4920,2208,2677,5575,5803,15340,15871,3108,4004,5273.1
14544,19345,12541,21679,2528,2588,3854,3796,8831,9192,1464,2320,5273.2
3893,8591,993,3169,3300,3800,4059,4386,9776,10726,2505,2509,5273.2
5560,9035,2542,4967,1145,1134,1678,1749,4367,5141,1398,1057,5273.2
19027,28440,1117,2493,366,195,0,108,16361,15958,7580,15734,5273.2
70717,111993,15594,25968,369,177,342,136,60327,60650,36556,47758,5273.3
34510,65787,3209,6102,35,70,245,136,37265,37504,27690,31029,5273.3
8495,15504,2607,5664,1327,1685,2372,3342,5778,7546,1163,1314,5273.3
84312,139666,8098,13814,405,284,36,58,91758,86312,46618,45699,5273.4
33871,64706,8436,15185,0,118,11,61,33862,32687,23527,23578,5273.4
13607,26075,5039,9069,3394,3783,4545,4811,12438,13419,1587,2765,5273.4
1711,11175,0,982,183,113,125,0,3123,6348,1321,2379,5273.5
2789,6229,0,1014,234,182,55,0,8492,7955,234,470,5273.5
423015,593887,42881,62327,1166,726,23,71,615199,526420,198254,177644,5273.5
1722,9108,0,0,209,115,152,62,1171,4357,868,1684,5273.5
4606,11392,1256,3296,2172,2433,2732,3424,7366,8660,2502,3075,5273.5
5646,7865,1283,3062,1453,2032,2168,2983,6450,7428,1933,1958,5273.6
16322,36756,5367,10283,2183,2436,4990,5598,10965,12059,4249,4989,5273.7
13998,25951,2626,4498,2818,3014,3894,4047,13057,13388,3057,3563,5273.7
