FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Predicted_Label,Max_Confidence,Label
9152.0,17449.0,1136.0,2794.0,3970.0,4453.0,5736.0,6807,12862.0,15007.0,2332.0,3729.0,19.0,Syn,0.828755165774294,Syn
7670.0,22208.0,1150.0,3618.0,2017.0,4446.0,1870.0,5309,4657.0,10280.0,0.0,391.0,19.0,Syn,0.7958936406097087,Syn
48053.0,79559.0,9631.0,17940.0,421.0,284.0,210.0,60,39284.0,43032.0,32656.0,35829.0,19.0,Syn,0.5628403745042196,Syn
4017.0,8433.0,302.0,2486.0,2160.0,3074.0,2568.0,3561,6373.0,8350.0,913.0,1142.0,19.1,Syn,0.7708534663707203,Syn
143603.0,267121.0,11404.0,21104.0,991.0,1098.0,387.0,145,109350.0,124985.0,39247.0,61771.0,19.1,PEuk1,0.5175283870802996,PEuk1
7552.0,22169.0,5111.0,11397.0,255.0,146.0,272.0,195,15329.0,19345.0,2464.0,7699.0,19.2,Syn,0.6596755918330517,Syn
9310.0,15838.0,1927.0,4874.0,7739.0,9234.0,9151.0,10989,26658.0,31447.0,2391.0,3845.0,19.3,Syn,0.8944166861422232,Syn
6256.0,10538.0,552.0,2694.0,915.0,960.0,1653.0,1805,3938.0,4132.0,945.0,1563.0,19.3,Syn,0.7241515315298409,Syn
22893.0,43374.0,5335.0,9732.0,483.0,314.0,21.0,94,26525.0,28368.0,21108.0,22003.0,19.3,Syn,0.6226469329794796,Syn
5419.0,12963.0,1477.0,3039.0,819.0,1299.0,961.0,1968,2790.0,6139.0,1824.0,1739.0,19.4,Syn,0.7252092930210472,Syn
449112.0,525462.0,880064.0,1284560.0,6727.0,5153.0,580.0,675,238184.0,239439.0,68455.0,82569.0,19.4,PEuk2,0.9190599901060816,PEuk2
1691.0,6776.0,839.0,2092.0,1576.0,2160.0,2004.0,2778,4763.0,6368.0,0.0,194.0,19.5,Syn,0.7537452130970191,Syn
49308.0,79231.0,11193.0,17433.0,414.0,408.0,553.0,233,35661.0,40407.0,16897.0,36832.0,19.5,Syn,0.5699893852479965,Syn
1085.0,6313.0,823.0,4240.0,1831.0,3197.0,2148.0,3714,6540.0,11615.0,430.0,1115.0,19.5,Syn,0.7761744692506943,Syn
20393.0,23747.0,4279.0,5592.0,7956.0,8960.0,8597.0,9759,18668.0,20511.0,6347.0,4997.0,19.5,Syn,0.8747797086517427,Syn
3178.0,12219.0,0.0,601.0,236.0,174.0,179.0,67,2262.0,7115.0,14571.0,36025.0,19.6,Syn,0.6719507163226645,Syn
397597.0,612378.0,31517.0,51926.0,2582.0,2339.0,542.0,410,640546.0,635251.0,294587.0,285629.0,19.6,Nano1,0.998066278056546,Nano1
9204.0,13988.0,3091.0,6378.0,2694.0,3031.0,2724.0,3514,9669.0,11191.0,1118.0,2097.0,19.6,Syn,0.763352603393003,Syn
3462.0,11279.0,698.0,2526.0,221.0,157.0,405.0,249,13176.0,11604.0,3879.0,4077.0,19.6,Syn,0.6772302580297718,Syn
1409.0,7834.0,58.0,660.0,165.0,70.0,177.0,113,3444.0,7208.0,1290.0,2799.0,19.6,Syn,0.6791088788066414,Syn
519725.0,480941.0,109660.0,128175.0,10415.0,6776.0,116695.0,75362,1011400.0,641817.0,812702.0,501267.0,19.6,Crypto,0.999999999999998,Crypto
11187.0,25350.0,1792.0,3770.0,2483.0,2750.0,5351.0,6284,14484.0,17252.0,5463.0,5379.0,19.7,Syn,0.8093395625778357,Syn
1897.0,10995.0,1865.0,7158.0,56.0,0.0,86.0,0,3965.0,9172.0,1649.0,2878.0,19.7,Syn,0.6721265254086412,Syn
2135.0,13923.0,791.0,4628.0,204.0,158.0,73.0,0,2756.0,6200.0,1527.0,2800.0,19.7,Syn,0.6688219791492219,Syn
1291.0,5985.0,654.0,3325.0,142.0,156.0,65.0,0,2121.0,4843.0,11377.0,31176.0,19.7,Syn,0.6799356801260795,Syn
1404020.0,1690920.0,1300110.0,1475500.0,12605.0,8238.0,2165.0,1514,1234320.0,1111610.0,1154550.0,874369.0,19.7,Nano1,0.9999999999999953,Nano1
8013.0,18680.0,2061.0,3432.0,4655.0,5444.0,5879.0,6768,16012.0,17816.0,2216.0,3843.0,20.1,Syn,0.8272987999658281,Syn
4280.0,13336.0,1332.0,2866.0,1463.0,1970.0,3263.0,3957,7496.0,7886.0,2564.0,4278.0,20.1,Syn,0.7734358923470481,Syn
5851.0,20032.0,1687.0,5584.0,2148.0,2750.0,3043.0,3949,9371.0,11693.0,0.0,2033.0,20.2,Syn,0.7660999174900271,Syn
120328.0,203494.0,9082.0,13912.0,747.0,472.0,231.0,78,131192.0,133040.0,64957.0,64813.0,20.2,PEuk1,0.6181937500403306,PEuk1
11410.0,21244.0,2811.0,4379.0,2627.0,2464.0,3285.0,3617,8625.0,9420.0,1818.0,3134.0,20.2,Syn,0.7570088091521916,Syn
4696.0,16483.0,2925.0,7556.0,3404.0,4636.0,3916.0,5662,9714.0,13305.0,883.0,1304.0,20.2,Syn,0.8088641636608119,Syn
3063.0,12377.0,152.0,3131.0,838.0,2424.0,778.0,2841,2038.0,7470.0,114.0,525.0,20.2,Syn,0.7489000730928911,Syn
195356.0,284859.0,158333.0,267339.0,4789.0,4812.0,7283.0,7618,20473.0,21156.0,9747.0,9793.0,20.3,Syn,0.5212986114731365,Syn
26765.0,66685.0,10949.0,21894.0,442.0,250.0,263.0,162,27861.0,31040.0,16370.0,27560.0,20.4,Syn,0.5914704643390329,Syn
4263.0,12871.0,2516.0,6335.0,2395.0,3204.0,4003.0,5506,12478.0,17289.0,895.0,3587.0,20.4,Syn,0.806610709435269,Syn
4554.0,14915.0,2365.0,7124.0,1709.0,2272.0,2714.0,3518,7200.0,9501.0,807.0,1090.0,20.4,Syn,0.7621238559213893,Syn
4309.0,15730.0,1050.0,4341.0,713.0,1267.0,1653.0,3158,5175.0,9489.0,2684.0,3689.0,20.5,Syn,0.7508848667343658,Syn
8098.0,21504.0,4411.0,8042.0,6344.0,7472.0,8240.0,9790,19515.0,21680.0,2914.0,2563.0,20.6,Syn,0.875747277213583,Syn
41250.0,79743.0,18361.0,28592.0,288.0,142.0,487.0,231,44580.0,44848.0,34917.0,38547.0,20.7,Syn,0.5695893823909541,Syn
7434.0,18556.0,1146.0,4091.0,4714.0,6028.0,5458.0,6908,13145.0,14896.0,2202.0,3119.0,20.7,Syn,0.8312715231780102,Syn
26954.0,43249.0,3548.0,4856.0,429.0,237.0,0.0,0,32668.0,34444.0,12869.0,25713.0,20.8,Syn,0.616436113340439,Syn
7661.0,22519.0,2135.0,5410.0,2129.0,2463.0,3149.0,3870,9823.0,12023.0,1450.0,2407.0,20.9,Syn,0.7609742087556689,Syn
1565.0,9276.0,132.0,1029.0,106.0,0.0,147.0,17,1427.0,4546.0,21862.0,48317.0,20.9,Syn,0.6753212365521707,Syn
278068.0,413854.0,20921.0,32625.0,405.0,507.0,100.0,43,370734.0,351300.0,205273.0,215110.0,20.9,PEuk2,0.9774113452118895,PEuk2
758516.0,297754.0,427847.0,167221.0,3488.0,892.0,717.0,293,480771.0,110598.0,702907.0,168235.0,20.9,PEuk1,0.4664900531567557,PEuk1
4495.0,16587.0,805.0,2074.0,934.0,2896.0,1194.0,3421,2745.0,6736.0,1769.0,2111.0,20.9,Syn,0.7585889164966485,Syn
2843.0,15065.0,647.0,3027.0,3173.0,5653.0,4113.0,7009,8822.0,14832.0,603.0,1439.0,21.0,Syn,0.835659292910977,Syn
762.0,3170.0,484.0,3453.0,1233.0,4485.0,1463.0,5116,3253.0,10975.0,60.0,13.0,21.0,Syn,0.8105952027784328,Syn
3492.0,10036.0,2324.0,6298.0,1227.0,1358.0,1805.0,2389,6274.0,7948.0,141.0,541.0,21.0,Syn,0.7396291119267046,Syn
6837.0,14844.0,2885.0,4299.0,2575.0,3320.0,3335.0,4221,10425.0,12773.0,3416.0,4204.0,21.1,Syn,0.7781574993353518,Syn
8089.0,18366.0,1831.0,4295.0,3838.0,4200.0,5336.0,6296,14664.0,17316.0,1158.0,3189.0,21.1,Syn,0.8176963686526186,Syn
62940.0,99944.0,5451.0,9870.0,569.0,256.0,100.0,29,65307.0,63226.0,52832.0,52032.0,21.1,Syn,0.5196570244336998,Syn
9637.0,21287.0,2494.0,5197.0,7891.0,9491.0,9861.0,11552,24148.0,26734.0,1041.0,3232.0,21.1,Syn,0.8989150146211908,Syn
11006.0,12356.0,2854.0,4871.0,4139.0,4163.0,5939.0,6459,16583.0,16176.0,3714.0,4765.0,21.1,Syn,0.8266020613919273,Syn
8001.0,19030.0,171.0,1473.0,130.0,89.0,61.0,0,2387.0,4740.0,21770.0,33879.0,21.2,Syn,0.6614489423467419,Syn
41791.0,66748.0,5365.0,8193.0,270.0,92.0,90.0,65,49062.0,49358.0,19623.0,34263.0,21.2,Syn,0.5777183141359815,Syn
16653.0,33649.0,10611.0,19678.0,210.0,112.0,215.0,107,26867.0,27035.0,12295.0,19164.0,21.2,Syn,0.6396474919263802,Syn
53752.0,84086.0,12717.0,19816.0,488.0,240.0,358.0,160,59653.0,62982.0,27931.0,50416.0,21.2,Syn,0.5514317897589367,Syn
9768.0,12777.0,2971.0,6678.0,4118.0,4492.0,4524.0,5224,13382.0,13003.0,3897.0,3517.0,21.2,Syn,0.803398018888778,Syn
49691.0,98481.0,2873.0,5164.0,312.0,162.0,163.0,42,48676.0,47181.0,26286.0,38938.0,21.3,Syn,0.5275792132403603,Syn
