FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
342491.0,420037.0,67949.0,98706.0,686,486,7,84,441045.0,354239.0,197181.0,179261.0,56.8,2,Nano1
2808250.0,1783870.0,12210900.0,8355650.0,17806,6418,6040,2020,1250620.0,767538.0,823166.0,449332.0,57.0,2,Nano1
1074060.0,1282380.0,105715.0,128719.0,1250,1173,633,251,1692840.0,1252850.0,661796.0,452648.0,59.8,2,Nano1
647761.0,696191.0,183403.0,239135.0,2210,1814,403,402,1516190.0,1124550.0,549747.0,398297.0,60.0,2,Nano1
524485.0,709760.0,233358.0,334218.0,1815,1097,873,322,448626.0,371702.0,174661.0,134999.0,60.7,2,Nano1
639217.0,816867.0,105434.0,144295.0,2080,2118,433,125,819856.0,647174.0,365041.0,316744.0,61.3,2,Nano1
448369.0,561641.0,35209.0,54034.0,1311,915,229,119,642957.0,525073.0,239485.0,214319.0,61.6,2,Nano1
479978.0,619622.0,108898.0,167245.0,1039,801,566,197,622969.0,503804.0,209159.0,175502.0,62.2,2,Nano1
1433180.0,1471800.0,3228030.0,3734360.0,6640,4260,2117,1391,309228.0,245550.0,202385.0,157898.0,63.2,2,Nano1
390994.0,507105.0,86019.0,132499.0,2260,1623,497,156,545228.0,420240.0,269170.0,219752.0,63.8,2,Nano1
475448.0,576094.0,69980.0,100398.0,2216,1752,743,329,997050.0,801231.0,350305.0,306771.0,65.8,2,Nano1
2111330.0,1736310.0,5870290.0,6857140.0,7077,3672,1903,1160,1189950.0,957583.0,779886.0,579558.0,65.9,2,Nano1
358991.0,499151.0,51824.0,70410.0,1046,622,362,265,460960.0,356322.0,189430.0,149040.0,66.2,2,Nano1
576204.0,731227.0,49912.0,72424.0,1344,1186,286,330,859027.0,702179.0,334461.0,287670.0,67.1,2,Nano1
636651.0,832118.0,24805.0,37762.0,1813,1635,253,127,838005.0,664305.0,310077.0,258515.0,67.5,2,Nano1
809230.0,933164.0,65651.0,87536.0,1815,1215,1100,404,1183010.0,931854.0,881436.0,723363.0,67.5,2,Nano1
354499.0,437706.0,55844.0,81806.0,900,823,0,135,579426.0,480695.0,217935.0,206038.0,68.0,2,Nano1
848431.0,952220.0,208152.0,285858.0,2163,1503,231,238,1758500.0,1294780.0,648977.0,515067.0,68.6,2,Nano1
1226250.0,1195560.0,113010.0,111112.0,5966,3947,848,569,2188310.0,1405140.0,1023450.0,653708.0,70.7,2,Nano1
375727.0,445911.0,324006.0,452794.0,1236,1271,0,118,495149.0,393319.0,185595.0,152245.0,73.4,2,Nano1
527732.0,663078.0,86423.0,110302.0,3324,2639,196,235,866059.0,664218.0,442577.0,313720.0,73.4,2,Nano1
514322.0,666714.0,47206.0,71142.0,1804,1386,127,114,758233.0,597816.0,295143.0,240044.0,73.8,2,Nano1
576309.0,767569.0,102215.0,146965.0,1131,1324,109,118,721730.0,601144.0,271499.0,228208.0,74.5,2,Nano1
474213.0,612430.0,42718.0,65793.0,1939,1547,187,210,671761.0,549318.0,238650.0,209300.0,74.6,2,Nano1
452855.0,502240.0,108462.0,151353.0,1269,1225,585,247,1163570.0,901167.0,433335.0,361165.0,76.7,2,Nano1
503442.0,656417.0,106299.0,151540.0,2252,1464,188,114,639559.0,501756.0,259437.0,209066.0,81.2,2,Nano1
502632.0,620416.0,458432.0,550416.0,1287,840,721,281,381330.0,315412.0,183465.0,149430.0,81.9,2,Nano1
1847640.0,1449150.0,2806590.0,2502450.0,5058,2843,1388,965,1713740.0,1112250.0,1159210.0,644654.0,82.0,2,Nano1
491797.0,616665.0,53204.0,78595.0,1739,1633,526,195,939347.0,765035.0,355533.0,314983.0,83.0,2,Nano1
473539.0,593280.0,56522.0,80217.0,1979,1548,203,132,685760.0,545975.0,261921.0,217719.0,83.2,2,Nano1
519489.0,635539.0,33816.0,38670.0,1574,1126,604,316,739259.0,581656.0,235704.0,192355.0,85.3,2,Nano1
425126.0,569346.0,76783.0,113267.0,822,720,141,101,525156.0,427055.0,187586.0,163187.0,87.4,2,Nano1
430961.0,527352.0,59854.0,86633.0,77,574,566,168,641993.0,514428.0,338199.0,254827.0,87.6,2,Nano1
588264.0,746011.0,129458.0,197725.0,2286,1502,166,187,1077940.0,893678.0,400551.0,375572.0,87.9,2,Nano1
448171.0,430101.0,52754.0,58221.0,3896,2545,699,343,1987120.0,1258120.0,657015.0,411176.0,88.4,2,Nano1
