PC1,PC2
-167207.6852312191,19509.250031902957
-162027.7167232584,20039.21796283519
-152988.29336358304,11863.200561838552
-136993.7785104963,4406.221750101713
-126392.54329130807,-2425.859555024719
-171018.2188023741,20262.17108697128
-168973.59502504248,19636.939809817883
-166227.51500675787,17001.146137325562
-164487.5698377117,18992.610915314857
-160448.93824993234,13535.009620136836
-169669.7857456595,20141.487385762288
-168243.98363042172,19635.02171164409
-170070.44216593297,17966.54850699871
542618.4846926832,-213005.75993707345
-152430.6360827702,8450.0601200136
-146866.87845787682,5468.661635938217
-118018.52203421587,5263.314727714516
112304.5832538553,-75793.13463548654
-161039.6486600276,8583.974627445481
-170495.78979538457,18292.808172808236
1509086.9046181873,-1026852.9224680014
-165991.0489949274,17119.401497161612
-140929.35661487473,8333.113911693117
-47824.23634141215,-40878.72311300336
-160211.7102513313,16103.67204782488
1794176.234840133,1713396.2075613295
412570.56450949045,-345687.5677091286
-119212.72910458154,-7073.5959708331175
-163081.5010862982,14767.346193749352
-166854.65615704135,16358.245250046439
-113269.93449219086,-16809.49587345834
-164978.9502466627,20653.03417073256
5278453.222694942,3982045.8377506197
851068.7111061879,485372.0229811764
-168216.14389342,20030.361022908062
-110107.34542618445,243.49257661346928
-162842.63814154133,15328.959448057947
-156720.05861023616,13631.71035790613
-156123.41566655118,21717.28853808712
-162612.91352865138,16840.348211072363
-160179.28847533735,17321.927073411265
-164049.1456083116,17033.02401254237
-168963.7850186463,20454.340698262535
-166516.03467317112,17202.729934640207
-167733.3948118194,18165.62265035485
-104511.99598287577,-12759.613939104653
-83459.2556591407,-17523.196759082995
-164365.52645302087,15380.511603290906
-115626.89402446967,-5669.433316396644
-169725.5792345158,18194.65570690007
-143169.32465528854,3691.099796933009
-167723.18122580904,17039.75397422214
-168333.1736371082,16775.977453891326
-168458.4164257149,17591.362482045806
-161552.28330939874,17115.710014513526
-155573.74931766905,14451.392707446263
435517.4854350979,-353690.7351582672
-171336.86877766735,19513.035578929066
-75666.42983507074,-28661.15062149695
-162927.39930155492,13624.197578918622
-169898.44588118902,17685.714489067876
-119663.53386251474,47186.36534617498
-65353.87425132138,-27347.35499245442
-145369.06550134017,10089.416758049276
-158534.0809301459,11283.08977220561
-159026.79441685666,16309.849141618872
-84564.21538434844,8141.433869136243
-161862.04286828716,12922.64602168829
-169283.8759701884,18515.407874661494
-170565.54253108284,18764.830699983348
501841.06128693017,-103377.74742771163
-89806.04450275957,-25788.399567098313
-119606.37432465161,-4764.2121941678415
-161810.08585555604,14285.792011238398
-105159.35526661701,-5125.1861733944825
-158807.40230723287,14812.060778991021
-134456.97605689702,-335.25261050739573
-149392.40975701294,13427.360917618504
170179.18638692563,-65698.63832736794
-70274.8092572111,-26699.61921989834
90170.89586770069,-67519.69298319484
-165129.85613701632,14995.808808444834
-147367.3352396811,8325.346802148599
-165121.34778872516,17337.248725577378
-167500.839177971,17188.67474577327
-169186.45666478475,17345.85176465787
-168295.32243926718,21512.60057322948
-155607.005498307,16326.93414412961
-158032.0721654977,12727.481776036997
-116781.92650276097,-7784.063439723002
-125980.23395270386,35838.076982613755
-165806.75029768495,15966.937726454202
-164342.1714270234,15516.065142299041
-154586.32656428646,14829.099045136165
-144216.88225490146,5910.833299302243
-159299.75914040214,11333.725807911236
-155738.59212166732,17106.117757255466
-164862.48004984367,15686.744144708831
-150744.56453422195,1344.4237304851922
390718.04612918716,-286412.47238214477
-165683.34387533757,16533.110447914703
-126585.83890622284,-5507.208582952237
-157908.27786477184,17780.06533603948
-155568.88438906395,16790.675594587654
-169634.51784510104,17139.07914777277
-170485.85144234737,18663.931187634862
872434.3337301819,-335987.42668368056
-160882.25959302398,12762.659732067648
-164596.81539225305,18385.552185780012
-164115.32544714704,15944.868500108278
-169560.6848358583,19396.013563087876
-165988.38740799093,17786.685807590922
-130205.05666901445,415.186192133664
-167909.62110653167,19666.04167739741
-163582.85947593825,15553.674303725351
-127505.32933491733,2725.121366073545
-108665.30379833434,12375.432350103336
-146576.00792648963,15622.473918499392
-167557.0659571392,18329.184270481117
-168698.3816233019,21252.9260492726
-155919.86877397704,12487.8113270486
-152597.75077092674,12028.833098232
-165816.38306598386,16466.719976640463
-94538.99574088735,-17392.184329206197
-98323.78400001927,-15014.958450099271
152715.23752519587,86466.87249565017
-84755.24832412627,-33303.535245892206
-28642.74104125853,-1314.9113848590314
-162940.05323025087,13403.804084931493
-96677.14636364399,-19706.887680183434
-160582.32888239442,14244.959017176046
-168526.97341927156,16952.163306861916
-171040.76615101227,20094.79952761458
-164868.89160554818,17810.52277630906
-159994.85476660286,16841.56623046873
1502697.972493283,1080530.0520276949
-158117.77934353595,12582.771351416659
-167094.80524187602,16411.094674548574
-168335.56393889495,17538.41471681697
-161511.41236497863,12496.333268874605
-154389.82942236363,4160.42540885599
1039534.7789018766,-655456.4718431532
-167849.0371568183,17003.74071656916
-165635.09820409608,13672.738145822648
899833.7306493651,-556360.322354859
-156986.69204377732,14019.678659243657
-155260.60573275056,5008.274585040996
-155449.48732687996,8413.482372666906
-158805.15991781163,9165.641357430302
-140289.6545137871,-8236.32258552812
2998642.7016201834,-2761251.4064472294
-167458.46993124668,15960.40446901212
-166921.06710977494,15553.284102612577
-83299.75884168778,-14181.96940173053
-166739.67347128975,16791.68450423171
-164849.3731822997,16421.91866522981
-108830.20200337569,-5035.627078593214
-153631.50863256177,8731.804745064082
168752.0168038052,-138218.47469840548
-28274.660047691694,-41967.36543009872
-167160.50956758,18567.92627539762
-60499.360164575744,-6242.438612422095
78088.67617908024,-94710.83008315494
-121875.67052935678,-6129.256558758687
226297.2038138052,-63371.33726154921
-171950.8946323739,20159.876034573943
-163610.88657447367,15946.834187397864
-151047.17757273986,7322.877375325341
-159596.07712383472,13930.157346769047
-64544.59991457437,-34179.90239878454
-159129.432851053,12490.758276770417
-160170.42342101212,15524.27442177367
17942.29054798928,-74773.87992692276
-161116.56117767887,16979.16252305954
-119956.16445712773,-5008.858371357259
-158710.33755620618,14766.211852957098
-161219.0493882962,15245.474352780737
-165897.49407969258,17409.399185423594
-143698.34560346478,16787.93631847713
-134535.47146229024,1286.3374097453852
-156399.54761239892,11616.594565198428
6628118.754968784,6733389.312420129
-66934.50726625447,-28188.43039212894
-169425.7995439088,18345.865647545957
-166916.04600525644,18153.162842170954
-119218.63530144772,7205.984934276297
-163474.24602050293,16723.472540050396
-159520.703257409,19159.879253734987
-155514.81393064512,12097.059499070967
-162460.30156473018,14986.27722517861
-33536.32329209757,-29615.8154137764
-159297.89833238622,11492.07762003264
472251.0737912651,162692.75530047942
-146093.35922872298,7630.546809754207
-147979.64152727765,8851.899381821242
-170643.26021652555,18312.49624554903
-165064.11128018337,14381.673947735195
-163920.72562000106,14384.433784320658
-165045.78602586503,17860.821940578575
-160703.25342417907,15031.046371224773
-92670.80791755108,30946.806863937956
-161783.5745385328,16599.636956644827
-132226.84173244514,9648.638357848655
208101.20512070513,-169694.34138990776
-170442.82950610548,18704.645609004
20800.124137927516,191603.81466770347
-134854.25774191192,863.3981757085458
-62035.97287681178,-26548.06077056888
91432.50843772438,-74342.95859959541
-113621.49212333778,-11572.244397114271
-163447.81518861937,17919.518759465598
-164737.534155118,17162.747032427906
-168631.91644271437,17508.626677510958
-171251.5273233566,19665.294466552772
-105527.4640034069,-11555.158997820727
-169922.063090065,18588.627473681143
-169396.14710767427,18099.651137292152
-171035.43225346983,19614.381318309937
-48678.81043641188,-43729.708371738285
-165776.90690636862,15401.49082823401
-164192.47244836474,13562.101129292347
-169874.8124800456,18189.811105509147
905336.4195045365,-708673.037046198
-167013.6911633627,16288.893547819356
-151730.1904240058,25328.800438371312
-138998.8312019586,3008.9949388262794
-165519.1390037817,18086.828937303726
-163525.90227331998,17923.86995460918
-169010.93348378787,18890.2225626992
-163742.64101028914,14291.378659813687
-165831.20643125803,16502.732433025893
-159888.8266752106,11696.190817879022
-115522.99979565784,-5991.91637168295
-163347.9216138668,15796.883940760057
-162732.70557363055,13476.909781346723
-156920.99700034485,14094.955988791851
-133151.88273290766,4911.854367271602
-105252.52800457862,-17146.423949096912
-159925.02989186096,17005.52920189482
-144907.7360174674,8159.5143954961095
-166492.87321257708,17827.110187179747
-163500.82130125863,18418.772596371422
-168992.51189009703,18644.055607010763
-170938.49465369954,19273.20970818922
-161245.5789337616,11719.467937544834
724936.6059713629,537473.8373349519
-25134.002629119088,-2626.6164971587314
-158410.99173230765,15282.307878853633
-163279.01817725506,20532.058774855912
-169690.30444022283,18787.701311932968
-168549.2864388768,19521.861256538265
-109400.74470544752,-20238.782361629295
85587.55697663478,207930.11559043964
-161505.46458595328,17692.510130780054
-159840.47259485588,12394.189567807307
-170380.67228356475,18759.44288221016
-169458.4768042253,19112.266246557545
-166801.24268325444,17378.757968867332
-170731.05385197405,20073.020010306038
-166058.06384345365,15943.632896272877
-163718.7348353694,14599.67950964738
-121435.7273902725,59837.922877785146
-162830.32808363796,20697.51242749957
80961.77986783179,-23368.82568643798
-165434.5621828508,17038.937347232557
-126897.86632445382,-3662.19674713771
-169771.81936367854,18209.35072169109
-169439.4094020556,19101.93378819964
-165085.07113673096,16479.51532937972
-166481.99033681428,16403.528546605554
-162811.62804775522,16337.450085276692
-162856.85973569218,15410.389638915945
133972.22005696665,246344.41049147787
-166899.9077329651,16874.89838528364
-89056.38522678296,-27525.66999471366
-7850.646702353493,-45502.29909957669
-135116.3039260218,6168.247612257708
1194417.807930175,811766.0226106619
202703.7736385602,-65641.06896682098
-161601.03441367755,15676.343633294568
-154640.6377770888,4425.917292826796
324766.8161062662,-247226.32106076105
-86546.17404988242,-18805.192915247244
-141998.64897192016,11687.427419649683
-156988.65040868983,8114.396690908514
-155085.58025948697,7587.3152522036635
3711073.4502815045,-241182.0377181025
-119158.30311708407,19147.313081116878
-166197.64383264736,15878.620455295582
-86597.57228961743,-15755.296230243257
-69543.59135491101,13643.08430974263
127734.01513280883,-85075.94065086915
-159230.8485488296,13018.308933497257
-98805.79954721016,-19996.87138697491
-167068.63015508617,17355.683072849486
2868543.812837981,2569675.1476368643
299570.0243522621,325562.82987897925
-159949.30782852118,15563.846309128887
-143044.92403702444,2087.78322512675
-170896.59598868206,19051.774072349595
201077.85704285582,-82462.34644903199
-55230.13597541717,-33510.89147473011
-163019.05064148622,14978.324965953008
-153937.72992303304,11938.727486283518
-164046.6048687343,17302.69400419372
-172051.13163121522,19982.004742813733
-53467.16982634718,-58085.12156221378
-161697.11450051304,15124.10307850425
172366.52592626057,-161424.4602051747
-163791.15494389943,14033.176328566235
-159784.7326992279,14124.389761652848
-160838.3973349796,14609.35188014488
-169926.0510572706,18419.83632396427
-166972.08004093156,16636.903661473043
-169932.7538757136,19168.347571892995
-114967.137534834,-4714.401823510918
119213.88410564204,301018.7951216866
2781.726089405158,-33024.543213983874
-135188.55990234332,698.4128034550376
-148364.9534897554,9915.66461293887
-156412.91947898563,7129.608882288434
191943.35009548155,-77977.06399247076
-167594.67920093442,16924.32372858658
-102311.55309692952,-12135.611597397063
-126732.44588657792,-6364.095949482624
-163737.32053843487,17379.764104687863
61881.7660433327,-113301.66317611701
-100299.61498623584,24919.714522372262
-134459.52236121192,39190.64743550125
-150702.86439960348,2890.1955016331412
-56092.33781974834,-75892.09889405125
2906155.9698742405,-1005410.8926838217
-166521.13922824175,18119.057811797615
-166469.82455381865,16488.923804316702
-167760.65580115077,17947.986157037565
65080.5850504284,-94640.64984229754
-155221.67623065194,21155.79335682677
-169347.84768066625,17790.698622404554
-169990.60542930794,18327.137087381074
-166755.7213890268,17231.26008569517
-162233.65232765512,16062.089137586168
-75965.01559574233,-38509.0505632608
-153141.31174787317,12896.738179807351
