PC1,PC2,PC3
-113187.86579574508,-26990.946693504506,-21211.915871259862
-70451.58986740891,-29099.042574827476,-13665.272282079795
197385.06224729324,264631.3501780559,54844.629378336955
-122534.22747966791,-28257.00010753676,-24754.900902489957
-120316.29657711527,-29222.882640726068,-24503.18616490543
-121245.39014258447,-28854.689247637296,-24324.036428446292
-117733.38467583724,-29759.33980102227,-24640.958344158185
-97922.76172711825,-29334.170513724825,-23098.236172173398
-116179.77648789877,-29171.29592617973,-20798.381077310274
201896.58140491904,91288.49566206917,144256.31867942744
-94843.13233856017,-21794.85997196097,-11986.596518812165
-108663.47653312315,-28597.619221107794,-21458.54911372212
-121734.27686811509,-28355.258942734035,-24561.77376053123
-106339.58602622981,-7996.991217480252,-25659.241881654434
47364.21202859162,28368.859915593486,37150.3945477788
-113208.33002878846,-28178.07870533625,-21484.40272851051
-94872.14420940093,3431.268367721699,9522.744955702336
-115343.61487292254,-27265.392601800097,-22623.550276151353
-118450.04457878941,-28540.701100450224,-24026.003252383663
-91147.36344766521,-21882.88652685335,-9609.289676918255
-116824.27944882384,-28754.35949514538,-24789.512822203324
-101459.76550748257,-26478.845579924353,-14336.972217961924
-105007.14729129244,-35391.02246653133,-30267.269392540464
-110114.17433361255,-34011.80063737786,-29867.136734264775
-112581.27799685337,-33199.376865595004,-30854.649425624208
-97283.03810599943,-40625.812570853974,-36518.31508209587
4564045.593378123,1079758.6835358678,-576853.3017199247
-113950.02055504186,-32596.616275661,-24722.936961923555
-120081.05379204794,-30450.600381744338,-25123.779585611715
-107626.09741753912,-36451.18927705617,-31753.465969146535
2542450.471202714,-266079.96126892435,439008.1093656056
-122300.07425901762,-28112.956975979665,-25017.71466239884
-120940.29529775328,-29997.408566256207,-24964.333743037594
-121879.70030603335,-30200.877430897395,-25177.900946730842
1081959.5662394,300389.69713370723,709623.4890420563
-77761.52746511911,-27593.460132790373,-21235.80158546583
-107949.9221783341,-19050.721232006985,-22495.458621734346
-113263.3181018735,-27657.545107687856,-20610.628158673742
-122872.81098111946,-29695.43304090367,-25768.37051629923
-122776.98846816245,-29441.78256779238,-25429.267187798752
-35357.02166423702,-30537.777366920498,-7145.28469332217
15152.32706822468,-4134.6446252172245,35105.59109052858
-104258.72558347788,-24611.723897235388,-12616.335787620796
-91284.79733559623,14473.889897635483,-13211.712142386981
39651.81568540384,-28298.989610640747,14770.504025902213
-61352.39510554748,-32956.126010762455,-16081.077791847878
-116639.63316968046,-26736.202277293927,-23968.93461268806
-112524.64219888372,-28396.86298274681,-21255.735415478324
153729.8627743412,-14684.726707078591,49199.527385928995
-77390.05395995043,-22155.613846956265,-18417.555784194297
-118055.05949079747,-28802.514439285384,-23364.695729881194
-122552.65750368817,-27464.916149312627,-22486.056103548635
-76866.18681883566,-29172.908704085854,-13644.596624387996
1435.8488175921666,8890.743811559718,58655.80844286667
-115511.10010182578,-25788.992738839494,-20187.09280806621
-119961.4156421156,-27550.63924226324,-22114.882468041287
-102770.38988249941,-19952.086490057154,-10239.722730418835
-77534.00173264944,-25382.124992016645,-13174.488622670284
-116164.85233805927,-28655.384420142484,-22288.5860248554
-113893.79510635659,-29238.470642771732,-22492.35691959357
-118874.69516332285,-30083.883034678285,-24627.437535270474
-119772.45540147311,-28606.37906350545,-24999.876825616808
-110924.3736392227,-26098.596257229925,-18054.86445435863
-47165.72257759834,22538.595055013946,56826.65888063859
-109241.11885434791,-25081.21994512089,-16558.072562484835
-121394.95254927003,-28757.79398405215,-24175.33429287477
-118262.57388010723,-27353.6613306912,-23981.73358691865
-42869.308403754374,-39315.11635114302,-15731.835358822182
-68926.17212176943,-27313.01782625189,-9863.494042974318
-117661.52084346955,-30410.887189740006,-25015.95622152913
-45671.4022770888,-14686.677697596971,-15320.140997528053
-53487.92816880331,-35144.906438346065,-13216.100281962412
52036.5267399327,192139.67293743708,169599.46106980048
-113328.69431516166,-26681.594952414573,-20400.77768478798
-121839.74508790341,-29690.071271733166,-24848.06048681495
-37506.00612013685,-19059.841822327668,-8682.010435282922
-97284.18417735919,-40845.76208855572,-40334.57743385637
-112679.27355071354,-33398.93600717911,-29662.283699831387
3509809.3638812797,1116097.4046521287,-285821.4278472058
-110908.06817698517,-26534.927375384228,-18549.029986556885
-107344.46478557918,-26693.12897107519,-19200.12844430631
-35393.522306574785,-11798.21683889734,12211.562795636768
-121927.48931246316,-29333.457922642083,-24701.20354202404
-100469.68209991723,-27153.484173431516,-15725.3888988983
-6015.94375625503,-8903.230362994509,-3558.3366576671106
-120987.32253656726,-28535.384237681723,-25352.692121195694
-98618.89558030074,-27205.533409370535,-22355.720388216378
-113320.57357034473,-30282.653191384794,-23891.109969771176
-118375.5911658978,-27065.935382041356,-22164.703153247414
-113314.73535768584,-28845.077607418007,-22125.017230564754
-114733.87215027469,-33868.96990441644,-29625.884449706824
471618.67304972664,434194.4461247392,86515.32700101106
-101716.5540461417,-36064.22097326897,-31972.374426255785
17243.536632957475,-28291.330261606745,3516.325427066189
-4024.6471642320685,-37990.69902495265,-6639.950545879925
-120541.07915835192,-29403.491780330234,-24553.220802271313
-118256.3212483543,-32180.552373668153,-28184.375419049706
-55258.84863336639,-22702.0781664922,-15784.972488150222
