FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
8936.0,18022.0,6763.0,15561.0,1197,1707,2416.0,3157.0,7185.0,9393.0,2725.0,4324.0,19.2,3,8.33147,14.384225
22049.0,48487.0,5709.0,10329.0,290,206,305.0,172.0,27441.0,32291.0,23930.0,28087.0,19.2,0,-1.9018321,8.522304
13628.0,19888.0,12860.0,26201.0,0,69,55.0,124.0,27228.0,32659.0,25558.0,26109.0,19.3,0,-3.8790202,13.68081
72944.0,145157.0,2854.0,6332.0,281,250,191.0,61.0,61089.0,72315.0,60479.0,67360.0,19.3,2,0.21331236,1.507507
5703.0,12695.0,1213.0,2671.0,683,2271,1024.0,3330.0,2778.0,8580.0,2268.0,2245.0,19.3,3,10.056306,15.583819
10034.0,16877.0,643.0,1968.0,2758,3413,3797.0,4714.0,8396.0,10868.0,1170.0,1930.0,19.3,1,14.045278,7.3009624
33092.0,64808.0,4681.0,8267.0,550,348,194.0,101.0,37771.0,44284.0,31712.0,38666.0,19.5,0,-1.3561993,6.1338825
23874.0,35335.0,1580.0,2698.0,435,235,49.0,136.0,14948.0,18320.0,16552.0,17138.0,19.5,0,-1.673228,10.329221
217569.0,418951.0,34607.0,57942.0,933,648,83.0,196.0,124238.0,143853.0,92406.0,94951.0,19.5,2,4.1621413,-1.7958364
154118.0,283830.0,29960.0,56977.0,261,266,352.0,111.0,141507.0,162502.0,63445.0,73355.0,19.5,2,2.9667616,-0.56514
346752.0,632310.0,86191.0,152174.0,2400,2161,3080.0,3725.0,215523.0,253141.0,124470.0,146909.0,19.5,2,5.070427,-3.0918615
17041.0,24077.0,1714.0,2699.0,3325,4064,3258.0,4063.0,10390.0,12365.0,3010.0,3520.0,19.6,1,14.655571,4.993938
8717.0,12476.0,2391.0,5871.0,2500,2987,3348.0,4234.0,9832.0,12269.0,3479.0,5164.0,19.6,3,13.351883,9.234584
4771.0,11503.0,518.0,1785.0,2371,3126,3466.0,4520.0,9570.0,12266.0,1608.0,3177.0,19.6,1,13.664469,8.819076
26056.0,66969.0,6658.0,13161.0,58,11,2.0,0.0,31779.0,37895.0,13449.0,28875.0,19.7,0,-3.0155299,6.5701027
14185.0,23579.0,5925.0,11398.0,2778,3516,4363.0,5839.0,11282.0,14728.0,4510.0,3577.0,19.7,1,14.069617,6.518483
54646.0,111881.0,6275.0,13993.0,255,136,247.0,176.0,57263.0,69399.0,30456.0,58791.0,19.7,2,-0.7696061,2.2963622
5292.0,9214.0,6361.0,13641.0,127,78,320.0,222.0,7943.0,8008.0,674.0,1262.0,19.7,0,-1.5013874,15.783809
2501.0,8182.0,2912.0,10041.0,194,102,220.0,198.0,3197.0,5599.0,931.0,1699.0,19.7,0,-1.4763824,15.698576
1209.0,7668.0,1338.0,16299.0,165,139,201.0,125.0,784.0,7964.0,29964.0,65063.0,19.7,0,-5.5417633,13.524406
937906.0,1366930.0,1438660.0,2412260.0,3835,3717,1033.0,898.0,415499.0,449902.0,228862.0,275637.0,19.7,2,6.302046,-4.791043
26516.0,43203.0,3635.0,6143.0,348,162,136.0,83.0,22778.0,26874.0,9609.0,19195.0,19.7,0,-2.002456,9.647971
49785.0,97451.0,2406.0,3655.0,364,234,455.0,239.0,47194.0,55993.0,30450.0,43440.0,19.8,0,-1.2072556,3.622882
3245.0,16587.0,696.0,2727.0,1291,2069,1729.0,2707.0,4191.0,7007.0,247.0,322.0,19.9,3,9.483427,14.7603445
14665.0,26742.0,4157.0,7612.0,23,201,68.0,41.0,23967.0,29249.0,11126.0,21252.0,19.9,0,-2.184793,10.735978
6978.0,18143.0,1488.0,2803.0,2666,3194,3493.0,4513.0,9585.0,12129.0,1564.0,3644.0,19.9,1,13.609172,8.314685
23060.0,49361.0,1263.0,2874.0,302,177,16.0,85.0,23876.0,28972.0,19460.0,24754.0,19.9,0,-1.9137027,8.76603
4518.0,15891.0,4099.0,11535.0,2563,3517,3904.0,5511.0,10565.0,15044.0,611.0,3053.0,19.9,1,14.429128,6.950153
13969.0,34040.0,3151.0,7500.0,278,151,286.0,156.0,20061.0,22958.0,6863.0,15607.0,19.9,0,-1.9984899,10.652299
3460.0,11401.0,818.0,2100.0,843,2021,1158.0,2681.0,3254.0,7457.0,1074.0,2714.0,20.0,3,8.66499,15.742564
3601.0,12454.0,604.0,1825.0,523,1390,424.0,1592.0,1469.0,5267.0,124.0,227.0,20.0,3,5.1405315,15.286056
10688.0,13906.0,3659.0,7052.0,2791,3205,2910.0,3642.0,9480.0,11467.0,2339.0,2650.0,20.0,1,13.565355,8.249684
4819.0,10513.0,842.0,3199.0,841,1103,1189.0,1391.0,3328.0,4035.0,708.0,788.0,20.1,3,5.1301694,14.210568
28759.0,64264.0,5063.0,9173.0,146,102,140.0,104.0,33701.0,37894.0,26139.0,28268.0,20.1,0,-2.9216332,7.037422
1779.0,9849.0,1062.0,3826.0,699,1360,829.0,1557.0,2325.0,4262.0,72.0,548.0,20.1,3,5.436678,15.273204
19023.0,32764.0,13660.0,25752.0,112,155,327.0,191.0,17885.0,21061.0,9633.0,20354.0,20.2,0,-2.2558432,10.465047
40937.0,72564.0,20820.0,36771.0,0,167,73.0,53.0,43932.0,51480.0,23973.0,41863.0,20.2,0,-2.7527766,5.1251917
4262.0,20423.0,1012.0,4872.0,943,1236,1296.0,1822.0,3509.0,5287.0,527.0,932.0,20.3,3,5.7893124,14.260955
40715.0,91107.0,8227.0,16342.0,481,267,238.0,204.0,59120.0,69269.0,31936.0,54198.0,20.3,0,-1.2288705,3.5383654
1891.0,10020.0,1271.0,4289.0,2660,3873,3106.0,4436.0,7921.0,11400.0,0.0,638.0,20.3,1,14.969536,6.5358615
6219.0,7107.0,1189.0,1883.0,206,1596,1169.0,2448.0,2532.0,7221.0,1267.0,1137.0,20.3,3,6.176773,15.684101
5105.0,11057.0,1038.0,3722.0,1269,1978,1656.0,2951.0,5395.0,9310.0,2519.0,3563.0,20.3,3,9.041116,14.957952
2576.0,12059.0,142.0,2756.0,420,997,396.0,1604.0,1122.0,4400.0,430.0,635.0,20.3,3,4.298678,14.5243
78833.0,148392.0,6533.0,9638.0,375,256,348.0,185.0,123758.0,127515.0,63924.0,62857.0,20.4,2,1.280877,1.2122171
6593.0,12256.0,1460.0,4389.0,1484,1650,2116.0,2366.0,5409.0,6351.0,489.0,2154.0,20.4,3,7.8062444,13.786203
6429.0,20103.0,1529.0,3488.0,3358,4625,4562.0,6081.0,11363.0,14924.0,1179.0,2705.0,20.4,1,14.678106,2.4047205
181828.0,317453.0,37329.0,71882.0,55,266,95.0,141.0,163633.0,177055.0,61538.0,87954.0,20.5,2,3.2839239,-1.1431177
2929.0,7983.0,4406.0,7572.0,25,114,130.0,41.0,7761.0,5689.0,1996.0,2248.0,20.5,0,-1.569227,15.987064
1267110.0,1635340.0,1473760.0,1893630.0,4163,2529,1368.0,720.0,344825.0,344380.0,112052.0,112975.0,20.5,2,6.274998,-4.7512627
2760.0,13003.0,528.0,1733.0,1353,1740,1778.0,2372.0,4614.0,6135.0,1258.0,1656.0,20.5,3,8.00432,14.331086
4675.0,14084.0,3560.0,10548.0,2563,3128,2919.0,3652.0,9393.0,11963.0,1027.0,1964.0,20.5,1,13.643835,8.9430895
47525.0,82634.0,10874.0,17338.0,2563,2896,5257.0,6173.0,14399.0,16757.0,7552.0,7293.0,20.6,3,9.614538,8.938803
4384.0,11664.0,3189.0,8264.0,3040,3728,4376.0,5418.0,10832.0,13060.0,1234.0,4043.0,20.6,1,14.342903,5.787618
38376.0,91057.0,5582.0,11738.0,122,185,84.0,76.0,45214.0,51070.0,34963.0,40191.0,20.6,0,-1.8627473,4.4322724
8538.0,24861.0,1874.0,4545.0,1393,1491,3277.0,3975.0,8749.0,10972.0,1895.0,4102.0,20.7,3,7.4817333,12.221482
1143.0,7372.0,446.0,2660.0,213,141,128.0,31.0,2740.0,6571.0,1267.0,2082.0,20.7,0,-1.3846107,15.259999
363.0,2656.0,331.0,1515.0,127,0,185.0,106.0,2519.0,4691.0,36227.0,98277.0,20.7,0,-5.936173,12.816868
739826.0,1055100.0,76403.0,123292.0,2277,2350,244.0,304.0,902044.0,814143.0,380605.0,373505.0,20.7,2,5.286275,-5.977028
79854.0,154074.0,10534.0,15691.0,444,268,0.0,32.0,72131.0,81811.0,42217.0,63621.0,20.8,2,0.36808908,1.4144143
11756.0,18617.0,1201.0,2409.0,3031,3206,4091.0,4931.0,12815.0,14438.0,3355.0,3431.0,20.8,1,13.012883,7.3485813
7645.0,16013.0,1800.0,3387.0,1462,1612,1592.0,1805.0,5230.0,5886.0,1045.0,1174.0,20.8,3,7.346794,14.00202
27964.0,41657.0,13735.0,25577.0,272,193,408.0,226.0,32964.0,38639.0,14729.0,32156.0,20.9,0,-2.0736644,8.508306
8044.0,21360.0,2236.0,6292.0,3641,4509,5189.0,6391.0,13129.0,15856.0,2654.0,5303.0,20.9,1,14.645298,2.3292086
5033.0,7213.0,973.0,3446.0,1594,1962,2408.0,2819.0,4852.0,5896.0,1799.0,1330.0,21.0,3,9.213842,13.812573
8732.0,12754.0,1119.0,3273.0,1990,2176,2850.0,3311.0,6959.0,8766.0,0.0,2319.0,21.0,3,10.414577,12.500527
4347.0,19295.0,1220.0,3536.0,2422,3686,2604.0,4414.0,5676.0,9639.0,811.0,1976.0,21.0,1,14.877723,7.547373
5315.0,12296.0,660.0,1928.0,451,1318,421.0,1787.0,1088.0,4074.0,270.0,1193.0,21.0,3,5.0308323,15.236058
2793.0,11279.0,3295.0,7825.0,2281,3716,2569.0,3999.0,6447.0,10362.0,1436.0,1761.0,21.0,1,15.060256,7.7164245
202580.0,364571.0,10932.0,19581.0,124,328,76.0,65.0,232333.0,240160.0,86864.0,108864.0,21.1,2,3.669161,-1.9712608
73142.0,146527.0,5134.0,10061.0,0,54,64.0,28.0,113488.0,120264.0,34134.0,48158.0,21.1,2,1.2532723,1.3212682
60258.0,110945.0,35568.0,66064.0,2905,2991,5244.0,6148.0,12587.0,14924.0,3700.0,6637.0,21.2,3,9.57294,8.788358
42730.0,64356.0,24289.0,44440.0,0,105,238.0,101.0,41840.0,48593.0,20382.0,34857.0,21.2,0,-3.032211,5.7976246
8052.0,19751.0,1429.0,3401.0,5295,6105,6061.0,7008.0,13154.0,14792.0,2541.0,3279.0,21.2,1,11.497807,-0.57807696
2020.0,9441.0,1599.0,4682.0,1812,2834,1792.0,3020.0,4135.0,6463.0,337.0,1362.0,21.2,3,12.891469,13.09919
12384.0,27036.0,14946.0,31794.0,3325,4104,4385.0,5235.0,11109.0,12547.0,1541.0,3933.0,21.2,1,14.699687,4.651434
85074.0,162913.0,6304.0,12074.0,675,587,200.0,148.0,54801.0,61665.0,41287.0,48638.0,21.2,2,0.7865527,1.990093
3202.0,10842.0,0.0,883.0,3548,4411,3974.0,4722.0,9792.0,11771.0,59.0,1055.0,21.3,1,15.014768,3.3286302
17382.0,25626.0,3879.0,7539.0,2718,3040,4151.0,5016.0,11717.0,14494.0,2038.0,3229.0,21.3,1,12.73521,8.190718
5015.0,16197.0,1162.0,2901.0,1055,1091,2297.0,2771.0,6099.0,7070.0,1485.0,2711.0,21.3,3,5.8950534,13.194623
3475.0,17394.0,2315.0,7405.0,164,30,207.0,158.0,19359.0,33586.0,9665.0,13606.0,21.3,0,-3.0214942,14.263271
2093.0,13910.0,1800.0,6768.0,177,78,181.0,109.0,20723.0,37489.0,7514.0,15152.0,21.3,0,-3.0907578,14.19395
860.0,3841.0,3417.0,11201.0,76,0,267.0,232.0,24606.0,37578.0,11772.0,18352.0,21.3,0,-3.1060176,14.315159
1805.0,6697.0,5637.0,13903.0,146,34,272.0,178.0,24510.0,32087.0,17551.0,26396.0,21.3,0,-3.824998,13.913119
1014.0,3135.0,4734.0,11559.0,73,53,257.0,138.0,34259.0,38393.0,26745.0,34708.0,21.3,0,-4.0845156,13.779975
4975880.0,1594920.0,6857810.0,2567900.0,19545,4132,5228.0,1311.0,9460080.0,2117370.0,7776030.0,1575350.0,21.3,2,7.042626,-6.0143256
22748.0,41240.0,1350.0,3258.0,5440,6959,6870.0,8331.0,19283.0,23129.0,1734.0,5849.0,21.4,1,10.288423,-0.7801933
5200.0,15879.0,1234.0,5709.0,1454,1842,2457.0,3081.0,7230.0,8778.0,725.0,2208.0,21.5,3,8.794532,13.8251095
36616.0,77320.0,30664.0,53774.0,1617,1988,4818.0,5328.0,12725.0,13901.0,3879.0,5498.0,21.5,3,8.991105,10.162971
5106.0,12050.0,707.0,2079.0,2388,2805,3247.0,4149.0,8936.0,10445.0,2810.0,2690.0,21.5,3,12.77676,10.082329
5742.0,9819.0,1371.0,2877.0,46,62,0.0,0.0,7688.0,5015.0,29140.0,15783.0,21.6,0,-3.2932603,15.256304
2498.0,9415.0,240.0,1615.0,139,30,99.0,0.0,4456.0,7960.0,16373.0,21000.0,21.6,0,-3.70725,15.07984
1387.0,5413.0,2669.0,9579.0,133,121,103.0,31.0,35911.0,57497.0,24898.0,36095.0,21.6,0,-4.0740433,13.737791
11467.0,14977.0,12560.0,11232.0,0,107,2.0,46.0,168426.0,68257.0,169772.0,66988.0,21.6,0,-4.6536903,13.512279
2742.0,10285.0,2748.0,7792.0,152,209,158.0,56.0,56346.0,64425.0,85829.0,105965.0,21.6,0,-5.983233,12.6811695
1000.0,5971.0,1740.0,6679.0,155,121,98.0,0.0,40450.0,72937.0,139528.0,339539.0,21.6,0,-6.2613773,12.329327
5817520.0,1025720.0,9896750.0,4562140.0,36558,3916,8853.0,1011.0,13642900.0,2993440.0,9827430.0,2366200.0,21.6,2,7.0822053,-6.013901
8096.0,28059.0,1390.0,4287.0,5390,6594,6118.0,7339.0,15104.0,18296.0,790.0,3536.0,21.6,1,11.10748,-0.6088093
8569.0,14626.0,1865.0,5023.0,2127,2522,3048.0,3556.0,7946.0,9526.0,1460.0,1671.0,21.6,3,11.977517,11.752814
41399.0,92162.0,4965.0,10248.0,118,141,0.0,63.0,25883.0,27810.0,15946.0,24355.0,21.6,0,-1.5690573,5.4432135
22289.0,47906.0,1158.0,2630.0,491,299,310.0,149.0,27514.0,32545.0,10483.0,21659.0,21.6,0,-1.4219521,8.556598
3638.0,11176.0,674.0,1590.0,118,54,280.0,169.0,1327.0,4770.0,9691.0,18540.0,21.6,0,-3.4223278,15.179165
52879.0,113295.0,8699.0,15802.0,148,164,244.0,180.0,68968.0,73093.0,18913.0,29267.0,21.6,2,-0.6730256,2.8397348
1779.0,8200.0,557.0,2258.0,155,115,79.0,0.0,2478.0,4403.0,614.0,1206.0,21.6,0,-1.2734106,15.498839
1320.0,7194.0,0.0,614.0,113,9,29.0,0.0,1816.0,5293.0,12317.0,31566.0,21.6,0,-4.454582,14.785899
312806.0,502639.0,32362.0,56881.0,886,972,0.0,0.0,390664.0,382648.0,133541.0,151444.0,21.6,2,4.2398186,-3.510841
5080.0,11162.0,607.0,2223.0,154,113,218.0,167.0,12606.0,10968.0,3593.0,3470.0,21.7,0,-1.1674305,15.57694
1193.0,5644.0,135.0,1034.0,130,8,121.0,27.0,137.0,6164.0,7753.0,20232.0,21.7,0,-3.462592,15.168739
485968.0,745906.0,71159.0,118877.0,1638,1794,146.0,115.0,760608.0,740839.0,256766.0,281384.0,21.7,2,4.89009,-5.5892987
22146.0,52379.0,2624.0,7475.0,227,102,62.0,15.0,35815.0,37416.0,20435.0,28337.0,21.7,0,-2.7066119,8.090977
25173.0,50993.0,8332.0,17119.0,195,92,39.0,66.0,29080.0,33120.0,10080.0,22615.0,21.7,0,-2.7329419,8.685926
4252.0,14165.0,957.0,4089.0,3032,4211,3564.0,4878.0,8406.0,11458.0,0.0,1066.0,21.7,1,15.223002,5.4768043
1679.0,11197.0,859.0,3252.0,983,2068,1267.0,2440.0,3713.0,7554.0,238.0,1211.0,21.7,3,8.986401,15.447693
8838.0,19995.0,868.0,2597.0,4142,5103,5764.0,7237.0,16815.0,19625.0,3007.0,4478.0,21.8,1,13.265808,0.24722199
30706.0,56806.0,4684.0,8093.0,62,113,305.0,186.0,35677.0,37627.0,19115.0,27168.0,21.8,0,-3.0261748,7.9188046
29169.0,58075.0,1903.0,4573.0,399,223,365.0,199.0,32002.0,34872.0,14939.0,20529.0,21.9,0,-1.6438422,7.929804
37266.0,57693.0,7005.0,11743.0,162,108,212.0,126.0,36536.0,38963.0,20043.0,30625.0,21.9,0,-2.8413496,7.140136
