FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,Label
485927.0,635019.0,32048.0,42481.0,1613.0,1146.0,9642,7967,220228.0,174313.0,221326.0,148994.0,302.9,1,Crypto
15359.0,28126.0,2260.0,5165.0,33382.0,35241.0,51052,52197,88037.0,85911.0,6070.0,17965.0,303.0,1,Crypto
731340.0,755481.0,326091.0,485280.0,10256.0,8265.0,92201,71070,636683.0,456694.0,450963.0,329450.0,306.3,1,Crypto
1013010.0,1062190.0,49126.0,54091.0,2295830.0,2068400.0,273309,248741,1242010.0,919463.0,509224.0,370450.0,308.6,1,Crypto
1143970.0,1167280.0,96983.0,103662.0,10812.0,7554.0,106033,71842,731663.0,458001.0,524530.0,317319.0,308.6,1,Crypto
837058.0,1237570.0,60891.0,95398.0,1356.0,1316.0,804,437,979111.0,942686.0,327109.0,340668.0,17.7,2,Nano1
392806.0,570437.0,79392.0,136492.0,1311.0,1202.0,242,277,685941.0,651711.0,273954.0,295031.0,18.1,2,Nano1
756109.0,875064.0,243343.0,325643.0,2643.0,2135.0,749,410,1682770.0,1353260.0,732181.0,600708.0,19.6,2,Nano1
129839.0,179057.0,28587.0,45064.0,1025.0,712.0,57,129,639011.0,566748.0,273721.0,222680.0,19.9,2,Nano1
704170.0,688195.0,124676.0,142286.0,6157.0,5391.0,648,519,2522550.0,1742980.0,1129100.0,842079.0,30.1,2,Nano1
1572340.0,1513550.0,6402730.0,6470450.0,6754.0,3003.0,1592,673,563066.0,411811.0,378516.0,231303.0,32.0,2,Nano1
592950.0,723908.0,56114.0,80216.0,1157.0,1276.0,0,140,904636.0,702482.0,283311.0,241442.0,32.0,2,Nano1
470846.0,635826.0,63509.0,94301.0,1027.0,1101.0,777,267,535879.0,434524.0,213145.0,171709.0,32.5,2,Nano1
618117.0,763328.0,42101.0,57985.0,2077.0,1443.0,393,183,738518.0,582471.0,261479.0,210291.0,33.2,2,Nano1
644304.0,804179.0,215128.0,271289.0,910.0,521.0,439,231,419533.0,330503.0,238014.0,192836.0,35.7,2,Nano1
601974.0,743798.0,75675.0,109429.0,1244.0,1068.0,149,153,825106.0,645949.0,316903.0,282565.0,39.8,2,Nano1
527892.0,684961.0,115511.0,175419.0,828.0,878.0,124,98,413103.0,345453.0,128025.0,113591.0,41.6,2,Nano1
68694.0,98304.0,44899.0,64429.0,1411.0,676.0,289,86,713013.0,540800.0,209533.0,195097.0,43.4,2,Nano1
582392.0,759469.0,71490.0,110229.0,1265.0,1139.0,160,221,695966.0,559670.0,252082.0,229526.0,45.9,2,Nano1
507393.0,633496.0,71848.0,106832.0,1508.0,1332.0,280,284,704195.0,560121.0,270517.0,224844.0,46.0,2,Nano1
1242690.0,1399180.0,1473460.0,1881320.0,3446.0,2223.0,861,491,618936.0,490811.0,334908.0,272972.0,48.7,2,Nano1
902805.0,799500.0,439859.0,613212.0,2597.0,1786.0,441,377,2786770.0,1490720.0,1173020.0,606858.0,52.3,2,Nano1
615247.0,624737.0,1290260.0,1798860.0,1585.0,1163.0,321,166,708082.0,559092.0,286043.0,242137.0,54.2,2,Nano1
1246410.0,1180800.0,382013.0,346737.0,8886.0,5430.0,914,486,4098260.0,1794350.0,1800110.0,853936.0,54.3,2,Nano1
862600.0,528213.0,107241.0,76519.0,5456.0,1994.0,1432,480,3952850.0,1256470.0,2019590.0,672960.0,55.0,2,Nano1
740661.0,962321.0,116361.0,178469.0,1692.0,933.0,354,245,684183.0,524146.0,280388.0,212404.0,56.1,2,Nano1
630601.0,366260.0,109311.0,83737.0,5479.0,2087.0,1584,540,4093310.0,1282520.0,2105030.0,690910.0,56.7,2,Nano1
517946.0,655699.0,32168.0,45779.0,1897.0,1387.0,175,173,702246.0,583941.0,218439.0,200040.0,58.2,2,Nano1
674264.0,732033.0,680968.0,841679.0,1426.0,1160.0,575,420,572877.0,471212.0,261684.0,226079.0,58.5,2,Nano1
589115.0,592159.0,130646.0,161447.0,7156.0,5747.0,1409,745,881741.0,562908.0,346940.0,202619.0,63.5,2,Nano1
833553.0,823898.0,152666.0,206098.0,5644.0,2935.0,794,444,2256020.0,1595380.0,904065.0,638944.0,64.3,2,Nano1
1291730.0,1301230.0,212622.0,248155.0,3988.0,2747.0,127,161,1431980.0,790215.0,598203.0,303403.0,66.2,2,Nano1
2252530.0,1977380.0,3652850.0,3381130.0,7602.0,3851.0,1653,844,2069180.0,1441550.0,1342740.0,943719.0,67.2,2,Nano1
563291.0,670293.0,116095.0,170006.0,1405.0,1313.0,187,183,921944.0,711093.0,343135.0,280766.0,68.6,2,Nano1
2011430.0,1054010.0,444295.0,287684.0,4897.0,1859.0,1094,505,4237790.0,1564030.0,3038680.0,990710.0,72.6,2,Nano1
1129550.0,1130700.0,85455.0,96526.0,4867.0,4106.0,387,406,1977580.0,1343520.0,771260.0,547484.0,74.8,2,Nano1
422809.0,294575.0,544049.0,327337.0,1474.0,672.0,248,235,643938.0,347054.0,397510.0,187827.0,77.1,2,Nano1
601064.0,733515.0,648789.0,912288.0,1398.0,1122.0,117,134,457830.0,378892.0,216304.0,185929.0,77.4,2,Nano1
571187.0,719670.0,51788.0,76923.0,855.0,1133.0,460,199,675297.0,536583.0,217488.0,181416.0,79.8,2,Nano1
774347.0,934132.0,457644.0,666757.0,2189.0,1498.0,276,381,424620.0,362287.0,231568.0,210782.0,88.8,2,Nano1
