FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
8985.0,13373.0,242.0,787.0,1363.0,1941,2481,3102,7953.0,10115.0,2765.0,2452.0,24.5,0,99.59493,-0.7588635
5509.0,13427.0,2882.0,7235.0,2323.0,2824,3234,3719,9792.0,10964.0,1264.0,2096.0,24.5,0,85.85298,-20.528744
15656.0,20859.0,3216.0,5489.0,4765.0,5402,6907,7247,20427.0,20685.0,3575.0,5373.0,24.6,0,110.30978,5.97772
11629.0,27821.0,1852.0,4930.0,14122.0,16173,18615,21181,27852.0,31096.0,6822.0,10637.0,24.7,0,99.161705,-12.739714
11918.0,23878.0,1388.0,2481.0,3861.0,3537,4485,4417,12000.0,12228.0,1549.0,1987.0,24.7,0,90.776436,-44.59144
2692.0,6986.0,1924.0,4011.0,3330.0,3598,4589,5375,11915.0,13161.0,1006.0,2653.0,25.0,0,92.5471,-43.085453
6748.0,22239.0,5637.0,11453.0,2047.0,3847,3617,5909,9051.0,15827.0,2973.0,3344.0,25.2,0,100.56014,-26.476667
5590.0,16647.0,2607.0,4792.0,2253.0,2351,2836,3122,7356.0,8357.0,1918.0,2313.0,25.2,0,95.618,3.110489
1552.0,6018.0,8050.0,49450.0,2525.0,4610,3330,5751,8100.0,14112.0,655.0,1739.0,25.3,0,102.04938,7.256431
25018.0,49640.0,11897.0,22819.0,32.0,11,27,21,36246.0,37801.0,11821.0,26130.0,25.4,0,101.46948,-29.421135
35001.0,50040.0,6280.0,10430.0,104.0,147,168,119,48732.0,47425.0,38236.0,34211.0,25.4,0,95.75821,-38.425545
48241.0,67666.0,19822.0,32210.0,584.0,272,269,225,58244.0,55451.0,57800.0,46408.0,25.4,0,95.8079,-7.697022
34789.0,52645.0,4473.0,6591.0,197.0,189,406,289,47837.0,47544.0,35601.0,36921.0,25.6,0,98.825264,-25.632458
15377.0,24983.0,8788.0,16123.0,330.0,251,100,111,26009.0,27675.0,6999.0,17349.0,25.6,0,95.714226,-10.004438
