tSNE1,tSNE2
82.46801,26.389088
103.19931,9.553451
108.53755,22.43702
70.23293,6.109033
87.29781,9.872297
80.72097,28.413343
88.55076,31.3592
86.20195,9.293822
86.0442,23.6116
74.33223,23.550827
97.15159,45.36081
103.02755,9.888959
82.6534,26.520668
73.88043,26.55421
91.82422,30.288956
94.651726,44.057373
104.72476,28.339792
69.012,14.206752
84.16444,30.293682
71.49833,1.7981186
99.865906,11.4291935
103.37916,8.941864
104.17613,28.516857
79.070946,20.300648
73.93539,26.809626
58.876312,3.940923
66.51263,4.2420473
79.42673,20.18769
71.09431,7.3778152
73.47991,17.804564
79.351494,18.419662
83.48246,23.520227
68.8437,9.393046
97.08009,45.19635
80.164986,21.588295
90.13764,30.608328
73.26458,23.855513
94.44471,7.7214704
69.02911,18.742733
66.67171,4.152619
71.82429,16.761826
83.97401,29.736313
71.55738,-6.6014028
94.55428,12.758408
80.78268,22.294786
85.49044,23.478937
99.09765,11.381889
69.23074,14.11262
95.18927,19.35363
96.38092,44.44547
77.69805,22.024935
85.82274,30.423378
80.17184,28.537691
86.09439,30.60711
79.003204,21.64794
83.86924,29.486767
67.804016,4.446478
95.11503,44.155376
94.18764,12.677242
58.0366,5.175791
70.23709,16.245039
82.329636,9.705708
66.83446,8.511556
79.35926,18.229122
93.570946,8.177693
67.23198,16.477562
83.33664,23.5948
98.29427,17.411823
69.03842,9.783722
71.89327,16.065977
104.24692,9.519384
70.888054,1.8428595
79.41894,17.399944
77.94572,21.933447
71.24875,7.7126746
73.43961,24.485323
73.186874,23.660883
70.026794,5.805824
73.404724,25.352703
73.94083,23.976751
82.193306,1.7693443
96.55603,20.300598
68.88915,14.182736
106.79233,23.962894
97.927666,44.682316
108.34343,21.006397
73.89526,24.129353
78.46511,27.82726
65.24947,11.38311
66.7892,4.6876373
84.39016,23.49446
95.29633,44.144825
94.11865,8.226338
90.979324,29.64103
57.77804,5.6317244
107.89963,19.369598
96.73314,43.62328
88.88779,31.427877
69.45275,10.280189
79.165565,21.35831
98.22793,11.43428
92.80662,34.399563
79.03503,27.303963
94.57067,11.887904
99.03984,11.344542
70.67236,15.150432
70.399185,13.899512
90.4412,10.774919
64.855064,9.824924
70.208305,15.4106045
79.01079,27.625765
69.67841,14.719395
65.06128,10.213695
89.87145,32.45026
98.42912,17.748714
70.19949,6.084664
