FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
31956.0,65829.0,7940.0,16426.0,213,168,74,65,45164.0,49373.0,24381.0,35983.0,21.2,1,-4.3098793,4.632607
2476.0,15086.0,506.0,3586.0,2489,4631,3446,6513,8789.0,16616.0,182.0,930.0,21.2,4,13.697053,6.2463284
21864.0,22927.0,4241.0,5720.0,497,222,134,74,16321.0,17578.0,9034.0,10540.0,21.2,1,-5.7529397,8.034056
7983.0,14760.0,2736.0,5770.0,735,1086,2088,3488,5543.0,10278.0,3452.0,3918.0,21.3,3,9.242533,12.68142
2635.0,8559.0,15.0,3247.0,426,845,736,2319,2271.0,7684.0,127.0,269.0,21.3,4,8.681261,15.615947
18549.0,35463.0,3318.0,6196.0,532,299,462,220,17310.0,18741.0,7604.0,13464.0,21.3,1,-5.1605563,7.828497
14453.0,21019.0,935.0,4815.0,162,173,538,220,14404.0,15943.0,4408.0,12633.0,21.5,0,-2.1750128,14.563886
6928.0,19494.0,1707.0,4018.0,1393,1571,3305,4277,7802.0,9821.0,1891.0,4541.0,21.5,3,9.336143,11.571415
19853.0,41929.0,2808.0,5754.0,80,64,90,76,21047.0,21723.0,9483.0,14924.0,21.5,1,-6.0287323,7.316521
14494.0,21498.0,4234.0,7172.0,1836,1751,2525,2985,8481.0,8987.0,1185.0,2321.0,21.5,4,12.287939,13.90472
32200.0,60478.0,7854.0,13449.0,318,212,140,72,38488.0,40193.0,27097.0,29311.0,21.6,1,-4.6613636,5.1239867
491.0,1837.0,61.0,3207.0,569,1664,520,1756,1986.0,6075.0,1245.0,1708.0,21.7,4,8.481185,14.993178
6937.0,14514.0,1205.0,3369.0,2023,3950,2956,5416,7239.0,12977.0,2306.0,2934.0,21.8,4,13.697267,6.9179616
120016.0,208309.0,14175.0,23562.0,209,361,108,186,76719.0,80771.0,48925.0,65899.0,21.9,1,-1.3065057,0.578498
3274.0,13457.0,0.0,0.0,49,66,0,0,2299.0,4856.0,13547.0,29267.0,21.9,-1,-3.3239584,15.748097
